Título|Ano de Publicação|Tipo de Acesso|Tipo de Documento|Assuntos|Idioma|Descrição|Link de Acesso
Um algoritmo de criptografia de chave pública semanticamente seguro baseado em curvas elípticas;A semantically secure public key algorithm based on elliptic curves |2006|Open Access|Dissertação|Criptografia;Seguranca : Computadores;Elliptic curves;Public-key cryptography;Semantic security;Complex multiplication;Cryptographically strong pseudorandom bit generators|por|Esta dissertação apresenta o desenvolvimento de um novo algoritmo de criptografia de chave pública. Este algoritmo apresenta duas características que o tornam único, e que foram tomadas como guia para a sua concepção. A primeira característica é que ele é semanticamente seguro. Isto significa que nenhum adversário limitado polinomialmente consegue obter qualquer informação parcial sobre o conteúdo que foi cifrado, nem mesmo decidir se duas cifrações distintas correspondem ou não a um mesmo conteúdo. A segunda característica é que ele depende, para qualquer tamanho de texto claro, de uma única premissa de segurança: que o logaritmo no grupo formado pelos pontos de uma curva elíptica de ordem prima seja computacionalmente intratável. Isto é obtido garantindo-se que todas as diferentes partes do algoritmo sejam redutíveis a este problema. É apresentada também uma forma simples de estendê-lo a fim de que ele apresente segurança contra atacantes ativos, em especial, contra ataques de texto cifrado adaptativos. Para tanto, e a fim de manter a premissa de que a segurança do algoritmo seja unicamente dependente do logaritmo elíptico, é apresentada uma nova função de resumo criptográfico (hash) cuja segurança é baseada no mesmo problema.;This dissertation presents the development of a new public key algorithm. This algorithm has two key features, which were taken to be a goal from the start. The first feature is that it is semantically secure. That means that no polynomially bounded adversary can extract any partial information about the plaintext from the ciphertext, not even decide if two different ciphertexts correspond to the same plaintext. The second feature of the algorithm is that it depends on only one security assumption: that it is computationally unfeasible to calculate the logarithm on the group formed by the points of a prime order elliptic curve. That is achieved by ensuring that all parts of the algorithm are reducible to that problem. Also, it is presented a way to extend the algorithm so that it the resists attacks of an active adversary, in special, against an adaptive chosen-ciphertext attack. In order to do that, and attain to the assumption that only the assumption of the logarithm is necessary, it is introduced a new hash function with strength based of the same problem.|http://hdl.handle.net/10183/394
MAM Museu de Arte Moderna do Rio de Janeiro MASP Museu de Arte de São Paulo : paradigmas brasileiros na arquitetura de museus|1998|Open Access|Dissertação|Museus : Brasil;Museu de arte : Sao paulo;Museu de Arte Moderna do Rio de Janeiro.|por|Este trabalho analisa a arquitetura do MAM - Museu de Arte Moderna do Rio de Janeiro - e MASP - Museu de Arte de São Paulo - a partir do estudo da história da arquitetura dos museus desde a sua fundação no século XVIII e da análise dos condicionantes que distinguem e particularizam esses edifícios. A moderna arquitetura brasileira, geradora dos princípios de projeto que geraram esses dois museus, mereceu um capítulo próprio. Para um melhor entendimento da arquitetura desses dois museus brasileiros, são abordados os aspectos históricos de suas construções, suas inserções urbanas, funcionalidade, estrutura, materiais e técnicas construtivas, além do seu papel na história da arquitetura brasileira. Em anexo, apresentam-se os traços biográficos de seus arquitetos, Affonso Eduardo Reidy e Lina Bo Bardi, respectivamente, e um breve estudo sobre condicionantes museológicos. Isso fundamenta a análise e pode servir como guia de referência para estudo ou elaboração de projetos de museus.|http://hdl.handle.net/10183/1313
Fatores que contribuem para a manutenção da dor em pacientes com síndrome miofascial : um estudo observacional|2001|Open Access|Dissertação|Neurofisiologia|por|A Sindrome Miofascial constitui, dentre os quadros de dor crônica, o que leva um número expressivo de pacientes a buscar atendimento médico nos Serviços de Tratamento de Dor. Caracteriza-se pela presença de pontos dolorosos localizados na musculatura, chamados de “pontos de gatilho”, e de espasmo muscular, podendo ocorrer limitação funcional e disfunção do sistema vegetativo (Sola & Bonica, 2001). A dor e a limitação funcional decorrentes da Sindrome Miofascial constituem atualmente uma das grandes causas de falta ou afastamento do trabalho, o que acarreta graves problemas econômicos e sociais (Roth et al, 1998; Sola & Bonica, 2001). Seu tratamento pode ser demorado e requer participação ativa por parte do paciente. O índice de melhora dos pacientes portadores de Síndrome Miofascial parece sofrer influência de diversos fatores tais como sintomas depressivos, ansiedade, ganho com os sintomas, etc. Os objetivos deste trabalho foram estabelecer a incidência de sucesso e insucesso da terapêutica proposta e verificar qual a relação daqueles fatores com o desfecho clínico estabelecido. Efetuou-se um estudo observacional. O delineamento experimental realizado foi um estudo de incidência. Estudaram-se 62 pacientes adultos (mais de 18 anos), de ambos os sexos, com diagnóstico de Síndrome Miofascial, que procuraram atendimento no Serviço de Tratamento de Dor e Medicina Paliativa do HCPA. Os instrumentos de aferição utilizados foram a Escala Análoga Visual de Dor (VAS), Escala de Ansiedade Traço- Estado (IDATE), Escala para Depressão de Montegomery-Äsberg, Self-Reporting Questionnaire (OMS), Questionário sobre Expectativa de Futuro e questionário estruturado. Os testes psicológicos e de avaliação da dor foram aplicados em dois momentos, na primeira consulta e ao final do tratamento proposto. Foi considerado como desfecho clínico o insucesso terapêutico, avaliado ao final do estudo. Observaram-se incidência de 71% e 29%, respectivamente, para sucesso e insucesso terapêutico. Os pacientes que estavam afastados do trabalho apresentaram aproximadamente 9 vezes mais chances de insucesso terapêutico. Aqueles que obtiveram ganho com os sintomas apresentaram em torno de 7 vezes mais chances de manutenção da dor ao final do tratamento. Maior ansiedade-estado (razão de chances ou RC = 3,4), expectativa negativa de futuro (RC = 22), sintomas depressivos moderados a intensos (RC =4,5) e presença de distúrbios psiquiátricos menores (RC = 3,6) associaram-se com maiores chances de insucesso terapêutico. Características demográficas, familiares, de ocupação e clínicas não se associaram ao desfecho clínico avaliado. Dos pacientes analisados, 29% permaneceram sem alívio da dor, com dificuldades para dormir e afastados de suas atividades, caracterizando o insucesso terapêutico. Observou-se a associação entre insucesso e presença de distúrbios psiquiátricos menores, sintomas depressivos moderados a intensos, maior estado de ansiedade, ganho com os sintomas e afastamento do trabalho. A abordagem multidisciplinar destes pacientes se faz necessária para elevar os índices de sucesso terapêutico no tratamento da SMF.|http://hdl.handle.net/10183/1314
Traços supra-segmentais da fono-articulação de mulheres no menacme e na pós-menopausa|2001|Open Access|Dissertação|Fisiologia|por|A expressão verbal humana é vital nas relações interpessoais, possui elementos segmentais, supra-segmentais e para-lingüísticos, requer integração entre eventos corticais, neuromusculares, periféricos e, destes com outros sistemas. Influenciada por fatores hormonais, apresenta características diversificadas em mulheres no menacme e na pós-menopausa. Neste estudo foram investigadas relações entre características fono-articulatórias em mulheres no menacme e na pós-menopausa, estas verificadas nas variações de freqüência, intensidade, inflexões, ritmo e velocidade de fala. Foram examinadas 45 mulheres no menacme, com ciclos menstruais regulares e que não faziam contracepção hormonal; e 45 na pós-menopausa há 3 anos ou mais, sem reposição hormonal. As análises acústicas foram realizadas com o programa Motor Speech Profile. Os resultados demonstraram redução da velocidade de fala e aumento de duração de pausas, seguidos pela tendência ao agravamento da voz, modificações de ressonância na pós-menopausa e ainda, inexistiram variações significativas na intensidade. As diferenças entre os grupos parecem decorrer mais das particularidades na interação entre eventos corticais, subcorticais e neuromusculares e menos de mudanças isoladas em estruturas periféricas fono-articulatórias. O conhecimento das alterações da fala que ocorrem em mulheres na pós-menopausa auxiliará no planejamento de estratégias para melhorar a qualidade de vida deste grupo.|http://hdl.handle.net/10183/1315
Estudo comportamental e estereológico em um modelo de tolerância induzida à isquemia em ratos adultos|2001|Open Access|Dissertação|Neurofisiologia|por|A morte neuronal é uma causa importante de disfunção no sistema nervoso central, que se manifesta comportamentalmente como déficits motores, cognitivos ou de memória. Uma causa importante de morte neuronal é a isquemia que é definida como a falta, ou diminuição, do aporte de sangue para os tecidos (GINSBERG, 1995 a; PULSINELLI, 1997). A região CA1 do hipocampo é a mais vulnerável à isquemia (PULSINELLI et al., 1982; SCHIMIDT-KASTNER & FREUND, 1991; NETTO et al., 1993; NELSON et al., 1997), e está relacionada com a memória tanto em humanos como em animais (SQUIRE, 1992). Vários trabalhos mostram que os animais isquêmicos apresentam pior desempenho em tarefas de aprendizado e memória (GINSBERG, 1997; SQUIRE, 1992; NETTO et al., 1993; NELSON et al., 1997). Estratégias visando proteger as células contra um dano letal vêm sendo estudadas há vários anos. A tolerância induzida à isquemia é a neuroproteção induzida por uma isquemia transitória breve a um evento isquêmico transitório de longa duração. Em geral, um evento isquêmico breve, de 2 minutos de duração, protege contra a morte celular induzida por uma isquemia grave, de 10-20 minutos de duração, desde que haja um período de 24 horas entre os dois eventos isquêmicos (CHEN & SIMON, 1997; KITAGAWA et al., 1997; BARONE et al., 1998; ROSA NETO, 1998). O presente trabalho teve como objetivo reproduzir o fenômeno da tolerância induzida à isquemia em ratos adultos e avaliar o efeito da tolerância induzida sobre o aprendizado e a memória da tarefa no labirinto aquático de Morris e sobre o volume da região CA1 hipocampal, pelo método de Cavalieri, em ratos submetidos à isquemia transitória grave. Os animais foram submetidos a um estudo do aprendizado da tarefa de localização da plataforma em um labirinto aquático em três fases. O labirinto aquático foi dividido virtualmente em 4 quadrantes com um ponto de largada entre cada um. Na primeira fase, a plataforma foi colocada em um dos quadrantes, onde permaneceu durante os 6 dias de treino., com 4 largadas em cada dia, e um teste no 7º dia sem a plataforma. Na segunda fase foram 4 dias de treino, seguido pelo teste, com a plataforma no quadrante oposto. Na última fase, a plataforma era colocada em um local diferente a cada dia para testar a memória de trabalho. Não foi observado diferença estatisticamente significativa nas latências para encontrar a plataforma entre os grupos controle e isquêmicos em todas as tarefas. Na análise do volume da região CA1, observamos uma diminuição de 20% nos animais submetidos à isquemia de 10 min., comparado com os dos grupos controle, isquemia de 2 min. e isquemia de 2+10 min. (neuroproteção) (p<0.05). Estes resultados comportamentais estão de acordo com os encontrados por alguns autores (KIYOTA et al., 1991; GREEN et al., 1992), porém outros autores relatam resultados diferentes (NETTO et al., 1993; IQBAL et al., 2001). As diferenças entre as metodologias utilizadas poderiam explicar parcialmente os resultados divergentes, também podemos supor que, 20% de diminuição de volume não é suficiente para provocar comprometimento do aprendizado.|http://hdl.handle.net/10183/1316
Influencia de variaveis ambientais sobre a temperatura do ar na area urbana de Porto Alegre, RS|1989|Open Access|Dissertação|Clima : Porto Alegre (RS);Ecologia urbana;Climatologia urbana;Temperatura : Variaveis ambientais : Porto Alegre (RS)|por|Com o objetivo de verificar qual o controle mais importante das temperaturas no meio urbano, correlacionou-se a temperatura observada em seis estações meteorológicas com três índices representativos do ambiente em torno de cada abrigo meteorológico. Os dados de temperatura corresponderam às médias das temperaturas mínimas e às médias das temperaturas máximas do período abril 1985-março 1986. Também foram extraídos deste conjunto de dados, amostras sazonais de 2 dias consecutivos com tempo anticiclônico. O ambiente em torno dos abrigos meteorológicos foi caracterizado por três variáveis: ângulo de obstrução do horizonte (obstrução por edificações, por vegetação e máxima obstrução), cobertura, vegetal em 10.000 m2 e 40.000 m2 e superfície com edificações também em 10.000 m2 e 40.000 m2. A correlação da obstrução do horizonte por edificações com a média das temperaturas mínimas foi a mais significativa. Diferenças observadas entre a situação outono-inverno e primavera-verão, entretanto, sugerem controle significativo da circulação atmosférica regional.|http://hdl.handle.net/10183/1317
Efeito da administração crônica pós-natal dos ácidos propiônico e metilmalônico sobre o comportamento de ratos no labirinto aquático de Morris (Water Maze) e sobre alguns parâmetros bioquímicos de estresse oxidativo em hipocampo|2001|Open Access|Dissertação|Bioquímica|por|As acidemias propiônica e metilmalônica são desordens neurometabólicas hereditárias caracterizadas por progressiva deterioração neurológica, retardo mental, atraso no desenvolvimento psicomotor, convulsões e coma. A fisiopatologia do dano cerebral característico destas doenças ainda é pouco conhecida. No presente estudo investigamos o efeito de administração crônica (5o ao 28o dia de vida) dos ácidos propiônico (PA) e metilmalônico (MA), que são os metabólitos acumulados em maiores concentrações nos pacientes portadores das acidemias propiônica e metilmalônica, respectivamente, sobre o comportamento de ratos e sobre alguns parâmetros bioquímicos de estresse oxidativo no hipocampo dos animais. O comportamento dos animais foi avaliado 30 dias após o término do tratamento nas tarefas do labirinto aquático de Morris e no campo aberto. Os parâmetros bioquímicos avaliados foram o potencial antioxidante total do tecido (TRAP) e a atividade das enzimas catalase, superóxido dismutase e glutationa redutase. Todos as análises bioquímicas foram realizadas em hipocampo, estrutura fundamental para a localização espacial, requerida na tarefa do labirinto aquático de Morris. As doses de propionato ou metilmalonato foram administradas de acordo com as preconizadas nos modelos experimentais destas acidemias, tomando em consideração o peso e da idade dos animais. Os ratos controles receberam solução salina nos mesmos volumes. A administração de PA ou MA não alterou o peso dos animais. Entretanto foi encontrado um déficit de aprendizado e memória no grupo tratado com PA, e um déficit de memória no grupo tratado com MA. Nenhum dos grupos testados apresentou alterações na atividade motora (número de cruzamentos) na tarefa do campo aberto. Também determinamos o efeito da co-administração de ácido ascórbico nos animais tratados cronicamente com PA ou MA. Encontramos que o ácido ascórbico preveniu o déficit cognitivo provocado pela administração crônica de PA e MA. Por outro lado, verificamos que os tratamentos crônicos com PA e MA diminuíram o TRAP no hipocampo dos ratos, sem alterar a atividade de nenhuma das enzimas testadas. A prevenção do déficit cognitivo pelo ácido ascórbico associada à diminuição do TRAP no hipocampo dos animais tratados cronicamente com PA ou MA sugere que o estresse oxidativo pode estar relacionado com o déficit cognitivo encontrado no presente trabalho. Concluindo, nossos resultados indicam que o estresse oxidativo pode estar envolvido, ao menos em parte, com o dano cerebral nos pacientes afetados pelas acidemias propiônica e metilmalônica.|http://hdl.handle.net/10183/1318
Proposta de uma arquitetura especial para simulação lógica|1988|Open Access|Dissertação|Arquitetura de computadores;Simulacao logica|por|O objetivo deste trabalho é a proposta de uma arquitetura especial para simulação lógica (AESL). As técnicas e modelos utilizados no processo de simulação lógica são brevemente revistos. É definida uma taxonomia para AESL sob a qual são analisadas diversas propostas de AESL relatadas na literatura. Uma taxonomia já existente é comparada com a proposta. A AESL definida é programável para diferentes algoritmos de simulação lógica. O detalhamento da AESL é, então, incrementado pela implementação de um algoritmo particular. Uma linguagem de simulação discreta é utilizada na construção de um modelo da arquitetura. Os resultados da simulação deste modelo permitem avaliar o desempenho da AESL e otimizar sua estrutura. Uma comparação com outras arquiteturas conclui a análise.|http://hdl.handle.net/10183/1319
Esporte na escola : contradicoes e alternativas|1991|Open Access|Dissertação|Educação física escolar|por|Investigamos a prática do esporte nas escolas de 1º e 2º graus, públicas e particulares de Porto Alegre, na Visão dos professores de Educação Física. Os objetivos que norteam nosso estudo foram: identificar os aspectos fundamentais da prática do esporte na escola; estabelecer se o professor de Educação Física de 1º e 2º graus relaciona criticamente a prática do esporte na escola com o contexto social que a envolve; elaborar um conjunto de sugestões que vise aprimorar a prática esportiva na escola, tendo presente a ênfase no desenvolvimento intelectual do ser humano para uma educação e uma sociedade mais justas. O estudo é de natureza descritivo-explicativa, a população alvo é constituída de todos os professores de Educação Física das escolas públicas e particulares de Porto Alegre, num total de 1.838 lotados nas 403 escolas existentes no município. A todos eles, foi enviado o questionário. Retornaram 218, constituindo-se assim a amostra. Observamos 17 escolas e realizamos 12 entrevistas. Descrevemos os professores de Educação Física quanto à idade, sexo, tipo de escola em que trabalham, nível de formação profissional, tempo de serviço, grau de ensino em que atuam, carga horária semanal e modalidades esportivas preferidas.  Segundo os professores de Educação Física de Porto Alegre, a importância do esporte na escola para o aluno está distribuída nas seguintes categorias: Movimento; Socialização; Desenvolvimento Moral e Intelectual; Saúde; Afetivo; Superação. A importância do esporte escolar para a escola, segundo os professores de Educação Física, agrupa-se nas seguintes categorias: Promoção e desenvolvimento da escola; Formação e desenvolvimento do aluno; Socialização. Quanto à importância do esporte na escola para a sociedade, os professores manifestaram-se nas seguintes categorias: Saúde; Socialização; Moral; Estrutural-crítica; Estrutural-alienada; Cultural. Observamos neste estudo que os professores de Educação Física têm dificuldade em relacionar sua prática com o contexto social. O ensino é desprovido de reflexão. A visão do esporte na escola é funcionalista e sua prática é conservadora. Prevenção da saúde e do uso de drogas são as funções do esporte, sobre as quais os professores têm maior clareza. A maior dificuldade dos professores é trabalhar com a liberdade de movimentos, daí o caráter disciplinar das práticas esportivas Há duas posições diferenciadas com relação à importância do esporte na escola para a sociedade: uma que faz a crítica ao caráter reprodutor do esporte na escola e outra que não se dá conta desta manipulação.  O professor escolhe o esporte a ser praticado na escola segundo quatro referenciais: aluno; recursos físicos e materiais; instituição; professor. Estes referenciais variam em ordem de prioridade da escola pública para a escola particular. Por fim, é necessário, para a mudança deste quadro, que as discussões acadêmicas cheguem o mais rápido possível ao professor que está diuturnamente envolvido na escola, através de programas de atualização. os sistemas de ensino deverão priorizar a escola pública com recursos físicos e materiais, além de levar em consideração, prioritariamente, o interesse do aluno na efetivação de políticas específicas para o setor. Devemos estimular o hábito da leitura de obras de cunho social, político, e cultural entre os professores, através da liberação de carga horária de trabalho e fazendo com que esta bibliografia chegue até a escola. Urge que os professores críticos desenvolvam, com seus alunos, estratégias que visem à transformação da instituição escolar, com vista a uma sociedade mais justa e igualitária.;We have investigated the prsctice of sports in primary and secondary public and private schools in Porto Alegre, as it is seen by Physical Instructors. The objectives of this study were: to identify the fundamental aspects of practicing sports at school; to find out if the Physical Instructor of primary and secondary schools critically establishes a relation between the practice of sports at school and its social context; to create a list of suggestions that aims to improve the pratice of sports at school ernphasizing the integral development of the human being as a way t o reach a better education and a fairer society. The study has a descriptive-explicative nature . The target population consisted of all the Physical Instructors of the 403 public schools of Porto Alegre, making up the total os 1.838 instructors two whon were sent questionaires. Two hundred eighteen were questionnaires sent back, and that was air sample. We observed 17 schools m.d made 12 interviews. We described the instructors according to their age, sex, the type of school where they work, work time, level of education in which thei work, weekly period of work and favorite sport modalities.  According to the Physical Instructors from Porto Alegre, the importance of the sport at school to the student is distributed in the following categories: Movement, Socialization; Moral and intelectual development; Health; Affection; Capacity of surpassing themselves. The importance of the sport to the school, according to the instructors; is divided in th e following categories: Promotion and development of the school; Formation and development of the student; Socialization; Concerning the importance of the sports to the society, the instructors chose the following categories: Health; Socialization; Moral; Critical-Structural; Alienated-Structural; Cultural. We have observed in this study that the Physical instructors have difficulty to relate their practice to the social context. The education is not provided of reflexion. The sport is seen in a functionalistic way and its practice is conservative. Keeping the students healthy and away from drugs are the sport functions about which the instructors can think more clearly. The greatest difficulty of the instructors is to work with the movement freedorn, this resulting in the disciplinary character of the sportive practices. There are two positions in relation to the importance of the sports at school to the society: one that criticizes the reproductive character of the sport at school and another that does not realize this manipulation.  The instructor chooses the sport to be practiced in the school according to four referencial points: student; physical and material resources; institution; instructor. These points vary in their priority order in public and private schools. Finally, it is necessary to the change of this situation that, as soon as possible, the academic discussions reach the instructor who is daily working at school, through atualization programs. The education systems will have to give priority to the physical and material resources in public schools, besides considering, also with priority, the studentts interest in the effectiveness of specific policies for the sector. We must stimulate the reading of social, political and cultural works among the instructors through the releasing of the period of work, making this bibliography reach the school. It is necessary that the critic instructors develop, together with their students, strategies that aim at school institution transformation, seeking a fairer and more equalitarian society.|http://hdl.handle.net/10183/1320
Desenvolvimento do saltar à horizontal : uma análise topológica|1992|Open Access|Dissertação|Atletas;Desenvolvimento motor;Coordenação motora;Controle do movimento;Dynamic systems;Control;Coordination;Standing long jump;Sistemas dinâmicos;Control;Coordinación;Salto horizontal|por|O objetivo deste estudo foi investigar a organização espaço-temporal dos segmentos da perna e da coxa no saltar à horizontal, verificando as infiuências do organismo e do ambiente (dois tipos de piso: concreto e areia). Participaram do estudo 21 sujeitos, 3 de cada faixa etária: 4, 5, 7, 9, 11, 13 e adulta (X = 19 anos de idade). Os sujeitos foram filmados realizando o saltar à horizontal com marcas desenhadas no centro das articulações do tornozelo, joelho e quadril. Estes pontos foram digitalizados e processados obtendo a posição e velocidade angular dos segmentos da perna e da coxa. A partir da posição e velocidade angular foi possível delinear os gráficos dos atratores (retratos de fase) e calcular os valores dos ângulos de fase para cada segmento, durante a realização da tarefa. Duas reversões para cada segmento, na posição angular, foram identificadas e nestes momentos os valores dos ângulos de fase foram capturados. Analisando as trajetórias dos retratos de fase verificou-se que os segmentos da perna e da coxa apresentaram um conjunto específico de características topológicas, na realização do saltar à horizontal. A análise dos valores dos ângulos de fase, nas duas reversões, indicou que ao longo das faixas etárias e nos dois tipos de piso os segmentos da perna e da coxa apresentaram organização espaço-temporal semelhante, indicando coordenação invariante.;The aim of this investigation was to identify the space-temporal organization of the thigh and shank segments in the standlng long jump, and to verify the organlsmic and environmental (two kinds of pavement: concrete and sand) inlluences on performance. Twenty one subjects, three of each age 4, 5, 7, 9, 11, 13 and adults (X = 19 years old), were recorded performing the standlng long jump with marks on the joint centers of the ankle, knee and hip. Tliese points were digitalized and processed Io obtain angular position and velocity of the shank and of the thigh. From angular position and velocity were delineated and phase angle values were calciilalcd for cach scgment during task performance Two reversals for each segment, in the position angular, were identified and phase angle values were captured. The analysis of phase portrait trajectories showed that shank and thigh have a specific topological set. Based on the analysis of angle phase values, in two reversal monients, it was verified that, across ages and in two kinds of surfaces, shank and thigh segments have the same space-temporal organization, showing invariant coordination.;El objetivo de este estúdio fue investigar Ia organización espacio temporal de los segmentos de Ia perna y de Ia coxa al saltar horizontalmente verificando Ias influencias dei organismo y dei ambiente (dos tipos de piso; cemento y arena). Paticiparon dei estúdio 21 sujetos, 3 de cada clase de edad: 4, 5, 7, 9, 11, 13 y adulta (X = 19 anos de edad). Los sujetos fueron filmados realizando el salto horizontal con marcas dibujadas en el centro de Ias articulaciones dei tobillo, rodilla e anca. Estos puntos fueron digitalizados y procesados obteniendo Ia posición y velocidad angular de los segmentos de Ia pierna y de Ia coxa. A partir de Ia posición y velocidad angular fue posible delinear los gráficos de ios atratores (retratos de fase) y calcular los valores de los ângulos de fase para cada segmento, durante Ia realización de Ia tarefa. Dos reverciones para cada segmento, en Ia posición angular, fueron identificadas y en estos momentos los valores de los ângulos de fase fueron registrados. Analisando Ias trayectorias de los retratos de fase se verifico que los segmentos de Ia pierna y de Ia coxa presentaron un conjunto específico de características topologicas, en Ia ejecución dei salto horizontal. El análisis de los valores de los ângulos de fase, en Ias dos reversiones, indico que a Io largo de ias classes de edad y en los dos tipos de piso los segmentos de Ia pierna y de Ia coxa presentaron organización espacio-temporal semejante, indicando coordinación invariante.|http://hdl.handle.net/10183/1321
