Título|Ano de Publicação|Tipo de Acesso|Tipo de Documento|Assuntos|Idioma|Descrição|Link de Acesso
Eficiência de uso da radiação fotossinteticamente ativa pelo tomateiro cultivado em diferentes ambientes|2002|Open Access|Tese|Tomate;Pratica cultural;Radiação solar;Fotossíntese;Eficiência|por|A produção de biomassa pelas culturas está relacionada à quantidade de radiação fotossinteticamente ativa (RFA) interceptada e absorvida pelas folhas, bem como à eficiência com que estas convertem a energia radiante em energia química, através da fotossíntese. Esta capacidade de conversão é considerada como sendo a eficiência de uso da RFA. Com o objetivo de avaliar a eficiência de uso da RFA do tomateiro, cultivado em diferentes ambientes, foram conduzidos experimentos em estufa plástica com tela lateral anti-insetos (CT), em estufa plástica sem tela (ST) e a céu aberto (Fora). Os trabalhos foram executados em duas épocas (primavera-verão e verão-outono), no ano agrícola de 1999/2000, no Centro de Pesquisa Veterinária Desidério Finamor - FEPAGRO, em Eldorado do Sul, RS. Foram feitas medições de matéria seca aérea e índice de área foliar (IAF) ao longo dos dois ciclos. Os fluxos de RFA incidente e transmitida foram registrados a cada 30 minutos. No conjunto de todos os dados o coeficiente de extinção da cultura foi de 0,57.  A fração absorvida de RFA, em relação à RFA interceptada, foi de 0,90. O ambiente CT teve menos RFA incidente, mas proporcionou maior eficiência de uso de RFA (0,44 e 0,60 g de MS mol-1 de RFA nos primeiro e segundo ciclos, respectivamente). No ambiente Fora, com mais RFA incidente, houve menor eficiência de uso da RFA (0,30 e 0,32 g mol-1 de RFA nos primeiro e segundo ciclos, respectivamente), enquanto que o ambiente ST permitiu valores intermediários de eficiência de uso da RFA (0,45 e 0,53 g mol-1 de RFAint). A maior eficiência de uso da RFA, no interior de estufa, esteve associada ao maior IAF e à maior produção de biomassa da cultura.|http://hdl.handle.net/10183/1560
Genética e mapeamento molecular da resistência parcial à ferrugem da folha da aveia (Avena sativa L.)|2002|Open Access|Tese|Aveia;Melhoramento genético vegetal;Variedade resistente;Ferrugem alaranjada;Marcador molecular|por|A ferrugem da folha é a moléstia de maior importância econômica para a cultura da aveia e a resistência qualitativa, geralmente utilizada para o seu controle, apresenta pouca durabilidade. A utilização de resistência parcial, caracterizada pelo progresso lento da moléstia, tem sido reconhecida como alternativa para obtenção de genótipos com resistência mais durável. Os objetivos deste trabalho foram determinar o progresso da ferrugem, o controle genético da resistência, e identificar marcadores moleculares associados a essa resistência, em várias gerações e anos. Populações F2, F3, F4, F5 e F6 do cruzamento UFRGS7/UFRGS910906 (sucetível/parcialmente resistente) (1998, 1999 e 2000) e F2 do cruzamento UFRGS7/UFRGS922003 (1998), foram avaliadas a campo quanto à porcentagem de área foliar infectada, para determinar a área sob a curva do progresso da doença (ASCPD). Mapeamento molecular, com marcadores AFLP (amplified fragment length polymorphism), foi realizado em F2 e F6, do primeiro cruzamento, identificando marcadores associados à resistência quantitativa (“quantitative resistance loci” ou QRLs). Resultados de três anos evidenciaram alta influência do ambiente na expressão da resistência, apresentando, entretanto, variabilidade genética para resistência parcial nas populações segregantes. A distribuição de freqüências do caráter ASCPD nas linhas recombinantes F5 e F6 foi contínua, indicando a presença de vários genes de pequeno efeito em seu controle. Estimativas de herdabilidade variaram de moderada a alta. O mapa molecular F2 foi construído com 250 marcadores, em 37 grupos de ligação, e o mapa F6 com 86 marcadores em 17 grupos de ligação. Cinco QRLs foram identificados na F2 e três na F6. O QRL identificado na F6, pelo marcador PaaMtt340 apresentou consistência em dois ambientes.|http://hdl.handle.net/10183/1561
Identificação de genes de resistência à brusone (Magnaporthe grisea) em cultivares de arroz (Oryza sativa) utilizando marcadores moleculares|2002|Open Access|Dissertação|Brusone;Doença de planta;Arroz;Marcador molecular;Gene;Variedade resistente|por|A brusone, causada por Magnaporthe grisea, é a doença mais importante do arroz. Uma vez que, o uso de cultivares resistentes é o método mais efetivo para o controle da doença, a pesquisa visa a identificação de novos genes que confiram resistência mais durável. O objetivo deste trabalho foi a identificação de cultivares que contenham os genes de resistência Pi-1, Pi-2 e Pi-11 utilizando marcadores moleculares. RG64, um marcador RFLP baseado em PCR, foi utilizado para verificar a presença do gene Pi-2 em 250 cultivares de arroz. Trinta e três cultivares apresentaram o mesmo perfil eletroforético da linha-quaseisogênica (NIL) C101A51, que contém o gene Pi-2. Verificou-se que 28 cultivares foram resistentes aos isolados inoculados, indicando que RG64 possui alta eficiência para a seleção de cultivares que contêm o gene Pi-2. Três marcadores microssatélites (RM) foram utilizados para verificar a presença do gene Pi-1 em 104 cultivares de arroz. Trinta cultivares, analisadas com RM254, apresentaram o mesmo perfil da NIL C104LAC, que contém o gene Pi-1. Verificou-se que 19 cultivares foram resistentes aos isolados inoculados. Três marcadores microssatélites foram utilizados para verificar a presença do gene Pi-11 em 104 cultivares de arroz.  Oito cultivares, analisadas com RM210, apresentaram o mesmo perfil da NIL IR1529, que contém o gene Pi-11, mas somente uma foi resistente. Com exceção do RM254, os demais marcadores microssatélites tiveram baixa eficiência de seleção de cultivares com o mesmo perfil das NILs. Estes resultados indicam que o uso de marcadores moleculares pode ser útil para acelerar o processo de lançamento de cultivares com resistência à brusone. No entanto, ainda é preciso aumentar a eficiência de seleção, através de marcadores microssatélites com localização cromossomal mais próxima dos genes Pi-1 e Pi- 11. Em um futuro próximo, isto poderá ser possível com a disponibilização de mapas moleculares de maior resolução.|http://hdl.handle.net/10183/1562
Estimativa do potencial produtivo da soja e variabilidade espacial de área de produção|2002|Open Access|Tese|Soja;Rendimento de cultura;Método de pesquisa;Ontogenia|por|A busca de rendimentos elevados na cultura da soja, pressupõe o entendimento dos fatores responsáveis pela variabilidade dos parâmetros de planta que contribuem para o rendimento, e o desenvolvimento de metodologias para a avaliação destes parâmetros, em condições de lavoura. Como objetivos, o presente trabalho procurou estudar metodologias para a determinação do potencial de rendimento da soja durante a ontogenia, e avaliar a variabilidade existente em comunidades, por técnicas de geoestatística. Experimentos foram realizados na Estação Experimental Agronômica da Universidade Federal do Rio Grande do Sul (EEA/UFRGS), localizada em Eldorado do Sul, RS, no período de 1996 a 2001. Parte do trabalho enfocou a determinação do potencial de rendimento da soja durante a ontogenia. Para que se possa elevar o rendimento é necessário entender o comportamento do potencial. Para tanto, utilizou-se metodologias baseadas na quantificação das estruturas reprodutivas da soja, com acompanhamento temporal de cultivares diferenciadas, durante a ontogenia. Outra etapa experimental constou da análise espacial e temporal da produção de grãos e seus componentes, em uma comunidade de plantas de soja, manejada como uma lavoura comercial. Nesta última utilizou-se, além de técnicas estatísticas usualmente empregadas na experimentação agrícola, procedimentos de geoestatística para a caracterização da variabilidade espacial e temporal presentes na área. O trabalho demonstrou a existência de padrões similares entre cultivares e anos, para o potencial de rendimento e sua perda durante a ontogenia. Também evidenciou que é possível determinar a variabilidade espacial e temporal de comunidades de soja, mesmo trabalhando-se em nível de planta, e a capacidade das técnicas geoestatísticas em auxiliar na visualização de tal variabilidade. As técnicas empregadas podem servir de base para estudos aplicados, onde sua utilização pode ser uma ferramenta importante no manejo de áreas onde se busca maior precisão na agricultura, para aumentar o rendimento de grãos.|http://hdl.handle.net/10183/1563
Avaliação dos parâmetros genéticos da população de arroz irrigado CNA 11 e da divergência genética entre os genitores|2002|Open Access|Tese|Parâmetro genético;Arroz irrigado;Melhoramento genético vegetal|por|Os avanços nas práticas de manejo e no melhoramento das cultivares de arroz irrigado têm permitido consolidar o Rio Grande do Sul como maior produtor deste cereal no Brasil. A seleção recorrente é um método alternativo de melhoramento que permite a recombinação cíclica de genótipos selecionados em uma população geneticamente divergente. Os objetivos deste trabalho foram avaliar o potencial da população CNA 11 para fins de melhoramento para tolerância ao frio, estudar a divergência genética dos seus genitores e quantificar as alterações nas freqüências alélicas como resultado do processo de seleção. Para isso foram conduzidos dois ensaios de campo compostos de 140 famílias S0:2 derivadas da população CNA 11 e quatro cultivares testemunhas, no delineamento látice 12 x 12 e em dois locais: Cachoeirinha (RS) e Santa Vitória do Palmar (RS), onde foram avaliados dez caracteres fenotípicos. O DNA dos genitores da população CNA 11 e de 133 famílias S0:2 foi analisado com marcadores moleculares do tipo microssatélites. A população CNA 11 apresentou alto potencial para fins de melhoramento, com ampla variabilidade genética em todos os dez caracteres avaliados. Os caracteres estatura de planta, esterilidade de espiguetas e número de grãos por panícula apresentaram altas correlações genotípicas com rendimento de grãos, podendo ser usados como critérios de seleção indireta. A esterilidade de espiguetas mostrou ser um critério eficiente de seleção para identificação de genótipos de arroz com tolerância ao frio no estádio reprodutivo. Os genitores da população CNA 11 apresentaram ampla divergência genética e, de modo geral, as freqüências dos alelos de microssatélites característicos dos genótipos da subespécie índica aumentaram e as da subespécie japônica diminuíram à medida que a intensidade de seleção aumentou. As melhores famílias S0:2 mostraram maior similaridade genética com os genitores da subespécie índica.|http://hdl.handle.net/10183/1565
Herança genética e mapeamento molecular da tolerância à toxidade do alumínio em aveia (Avena sativa L.)|2002|Open Access|Tese|Aveia;Melhoramento genético vegetal;Variedade resistente;Toxidez;Alumínio;Hereditariedade;Mapa|por|A toxicidade do alumínio é um fator limitante para a obtenção de maior produtividade na cultura da aveia (Avena sativa L.). O desenvolvimento de genótipos tolerantes a altos níveis de toxidez ao alumínio é uma alternativa mais barata e viável para o cultivo em solos com subsolo ácidos. Os objetivos deste estudo foram avaliar genótipos de aveia quanto à reação ao alumínio tóxico em três soluções nutritivas, bem como, determinar a ação gênica, o número de genes, a herdabilidade do caráter e identificar marcadores moleculares associados a tolerância ao alumínio tóxico em genótipos de aveia. Oito genótipos foram avaliados em soluções nutritivas quanto à tolerância ao alumínio tóxico. A utilização de solução nutritiva foi eficiente para a discriminação dos genótipos de aveia quanto à tolerância ao alumínio. Os genótipos apresentaram variabilidade, sendo classificados como tolerantes, intermediários e sensíveis. A ação gênica aditiva foi a de maior importância, tanto na análise de média de gerações de oito cruzamentos, quanto na análise de um dialélico parcial envolvendo quatro genótipos. Em oito cruzamentos para determinação do número de genes envolvidos no caráter, através da análise do recrescimento da raiz principal de plantas em solução nutritiva, a segregação foi de apenas um gene com alelos múltiplos, sendo dois para tolerância (A1 e A2) e um para sensibilidade (a). A herdabilidade da característica foi alta, evidenciando que este caráter pode ser selecionado em programas de melhoramento, nas gerações iniciais. Na análise por microssatélites e AFLP, considerando as condições avaliadas, não foram identificados marcadores moleculares associados ao caráter.|http://hdl.handle.net/10183/1566
Erosão hídrica relacionada à condições físicas de superfície e subsuperfície do solo, induzidas por formas de cultivo e de manejo dos resíduos culturais|2002|Open Access|Dissertação|Manejo do solo;Pratica cultural;Erosao hidrica;Cultivo do solo;Controle cultural;Controle da erosão;Resíduo orgânico|por|As diferentes práticas de manejo do solo resultam em diferentes níveis de qualidade da sua estrutura, os quais, por sua vez, resultam em diferentes níveis de erosão hídrica. Este trabalho teve como objetivo avaliar o efeito de diferentes formas de cultivo do solo e de manejo dos resíduos culturais em algumas condições físicas de superfície e subsuperfície do mesmo, em relação à erosão hídrica. Para isto, foi conduzido um experimento em condições de chuva simulada, na Estação Experimental Agronômica da Universidade Federal do Rio Grande do Sul, em Eldorado do Sul – RS, no período compreendido entre janeiro de 1996 e maio de 2001. Utilizou-se um solo Argissolo Vermelho Distrófico típico, bastante degradado, com declividade média de 8%. Os tratamentos consistiram do cultivo de milho-aveia preta, nos preparos de solo convencional (com e sem incorporação dos resíduos culturais) e semeadura direta; sem cultivo/sem preparo do solo (com e sem cobertura vegetal morta) e preparo convencional sem cultivo. As chuvas foram aplicadas com o simulador de chuva de braços rotativos, na intensidade de 64,0 mm h-1 e duração de 90 minutos. Nas condições deste estudo, observou-se que a incorporação dos resíduos culturais reduziu a erosão hídrica, refletindo uma melhoria da estrutura do solo. O cessamento do preparo do solo permitiu sua superfície reconsolidar-se e ocasionou perda de solo decrescente no tempo, enquanto a perda de água manteve-se sempre elevada. A perda de solo observada nos testes de erosão realizados após o cultivo do milho foi maior do que a observada nos testes realizados após o cultivo da aveia preta.|http://hdl.handle.net/10183/1569
Atributos físicos e químicos de um argissolo e rendimento de culturas em função do seu revolvimento na reaplicação de calcário no sistema plantio direto|2002|Open Access|Dissertação|Solo argiloso;Manejo do solo;Propriedade físico-química;Corretivo;Calcário;Plantio direto;Rendimento|por|As alterações da qualidade estrutural do solo pelo uso continuado do sistema plantio direto ocorre junto com o processo de sua (re)acidificação. Em algumas circunstâncias, ocorre também compactação superficial devido ao tráfego de máquinas, que necessita ser corrigida pela mobilização do solo. Assim, avaliou-se os efeitos acumulados e a curto prazo de mobilizar ou não o solo por ocasião das reaplicações de calcário sobre os atributos físicos e químicos no perfil do solo e o rendimento de culturas em diferentes preparos de solo. Foi utilizado um experimento de 12 anos no sistema plantio direto (SPD) e preparo convencional (PC) instalado em Argissolo Vermelho Distrófico típico na EEA-UFRGS. Determinou-se os atributos físicos (densidade, porosidade e estabilidade de agregados) e químicos (pH em água, índice SMP, teor de matéria orgânica, cálcio, magnésio e alumínio trocáveis e CTC efetiva) em três camadas (0,0-2,5; 2,5-7,5 e 7,5-15,0 cm) do solo e a produtividade das culturas de milho e aveia + ervilhaca. O SPD por quatro anos após o revolvimento recuperou os atributos físicos do solo à condição original. O revolvimento propiciou condições mais favoráveis de densidade e porosidade do solo, mas diminuiu a estabilidade de agregados, que não retornou à condição original após doze meses. Os atributos físicos do solo foram mais uniformes no PC, mas com menor estabilidade de agregados na camada superficial. O PC propiciou a situação menos desejável para os atributos químicos do solo. O efeito da aplicação superficial de calcário no SPD consolidado (oito e doze anos) atingiu a profundidade de 15 cm em doze meses, nos atributos químicos. As diferenças nos atributos físicos e químicos do solo decorrentes dos sistemas de manejo não foram suficientes para afetar a produtividade das culturas.|http://hdl.handle.net/10183/1570
Preditores visando a obtenção de um modelo de previsão climática de temperaturas máxima e mínima para regiões homogêneas do Rio Grande do Sul|2002|Open Access|Tese|Meteorologia;Previsão do tempo;Clima;Modelo matemático;Análise estatística;Rio Grande do Sul|por|Geralmente, as populações, incluindo aí os setores produtivos, planejam suas atividades pelo conhecimento antecipado das variações tanto da temperatura quanto da precipitação pluvial baseados nos ciclos anuais e sazonais conhecidos. Os benefícios, confiabilidade e utilização das previsões climáticas têm sido objeto de análise e discussão na comunidade científica mundial. O desenvolvimento e aplicação dessas previsões para determinadas partes de áreas extensas, atende, de forma mais satisfatória, aos anseios dos setores produtivos e a sociedade como um todo. O objetivo principal desse trabalho foi identificar regiões dos oceanos Atlântico e Pacífico, cuja Temperatura da Superfície do Mar (TSM) possa ser utilizada como preditor potencial em modelos estatísticos de previsão climática de temperaturas máxima e mínima em regiões homogêneas do Estado do Rio Grande do Sul. Este estudo foi desenvolvido com dados de temperaturas máxima e mínima de 40 estações meteorológicas, do Instituto Nacional de Meteorologia e, da Fundação Estadual de Pesquisas Agropecuárias para o período de 1913 a 1998 e dados de TSM em pontos de grade para o período de 1950 a 1998 do National Center for Environmental Prediction. Num tratamento preliminar dos dados, as séries tiveram suas falhas preenchidas utilizando um método de preenchimento, aqui chamado, de “método das correlações”. Com as séries completas, aplicou-se métodos de agrupamento, determinando 4 regiões homogêneas de temperaturas máxima e mínima para o Estado. Foi feito um estudo climatológico dessas regiões e determinadas as relações das temperaturas médias máxima e mínima, de cada uma com TSM dos Oceanos na grade definida. As regiões determinadas representaram bem a fisiografia do Estado e as regiões preditoras apresentaram correlações significativas tanto com a temperatura máxima, quanto com a mínima. Os meses com maior número de preditores, tanto para as temperatura máxima quanto para mínima, foi agosto e o de menor, julho. Correlações diferentes para regiões homogêneas distintas, justificou a utilização da regionalização neste trabalho.|http://hdl.handle.net/10183/1571
Relações entre variáveis meteorológicas, fenologia e qualidade da uva na ""Serra Gaúcha""|2002|Open Access|Tese|Uva;Pratica cultural;Meteorologia;El niño;Fenologia;Rendimento de cultura;Qualidade do alimento|por|O Rio Grande do Sul possui seis regiões vitícolas, sendo a denominada “Serra Gaúcha” a maior região vitícola brasileira. Os índices bioclimáticos, bem como os modelos existentes para estimativas da fenologia e do rendimento qualitativo da videira foram estabelecidos para regiões vitícolas de diversos países, com clima distinto do encontrado nas regiões vitivinícolas do Rio Grande do Sul, sendo necessário verificar a sua eficácia nestas condições. Por esse motivo, estudos no sentido de estabelecer o comportamento da cultura frente às condições do ambiente, em especial o clima, são necessários para o planejamento do seu cultivo. Os objetivos deste estudo foram caracterizar a fenologia das principais cultivares, estabelecer modelos para a estimativa das fases fenológicas e determinar relações entre variáveis meteorológicas e o rendimento qualitativo para a videira da “Serra Gaúcha”. Para isso, foram utilizados dados fenológicos e de qualidade do mosto, nos ciclos vegetativos de 1984 a 1994 e dados meteorológicos e do teor de açúcar do mosto da cv. Cabernet Franc de 1961 a 2000. Os resultados fenológicos permitiram classificar as videiras, quanto à época de brotação, em precoces, médias e tardias e, quanto à maturação, como de primeira, segunda e terceira época. A data da brotação foi estimada com duas a três semanas de antecedência. Foi possível prever as datas da floração, mudança de cor das bagas e colheita, a partir da data da brotação, com desvio padrão médio de 2, 3 e 5 dias, respectivamente. A duração do brilho solar, a deficiência hídrica e o quociente heliopluviométrico foram positivamente correlacionados com a qualidade da uva, enquanto que a precipitação pluvial e o excesso hídrico apresentaram efeito contrário. A melhor estimativa do teor de açúcar da uva Cabernet Franc foi obtida com a duração do brilho solar e a precipitação pluvial ou duração do brilho solar e deficiência hídrica dos meses de dezembro a fevereiro.|http://hdl.handle.net/10183/1572
Níveis de lisina e relações treonina : lisina no desempenho e metabolismo de leitões desmamados|2002|Open Access|Dissertação|Leitão;Crescimento;Nutricao animal;Metabolismo animal;Desmama;Lisina;Dieta;Digestibilidade;Performance;Produção animal;Manejo|por|Foram utilizados 64 leitões machos castrados desmamados aos 21 dias de idade alojados em gaiolas de metabolismo. Durante os três primeiros dias de experimento todos os animais foram submetidos a uma mesma dieta pós-desmame para adaptação ao novo ambiente. Após este período, passaram a receber uma dieta pré-inicial nos primeiros 14 dias (período pré-inicial), com 3523 kcal/kg de EM, 19,10% de PB e 0,84% Met+Cis, variando em dois níveis de Lis (1,25 e 1,45) e quatro relações treonina:Lis (Rel) (0,53; 0,60; 0,67; 0,74) e uma dieta inicial nos 14 dias subsequentes (período inicial), com 3450 kcal/kg de EM, 17,50% PB e 0,65% Met+Cis, com 1,13% e 1,30% de Lis, mantidas as mesmas relações. As dietas com baixa Lis e Rel 0,53, em ambos os períodos, forneceram insuficiente treonina (0,66 e 0,60% de treonina nos períodos pré e inicial), resultando em leitões com pior desempenho do que leitões recebendo as demais Rel. No entanto, nos leitões que receberam os tratamentos com alta lisina, este efeito não se repetiu. Nas dietas com baixa lisina houve melhora linear na retenção de proteína nos dois períodos à medida que aumentaram as relações treonina:lisina nas dietas, mas não nas relações com alta Lis. A exigência de treonina foi cerca de 077% (0,70% de treonina digestível) e 0,69% (0,61% de treonina digestível) de 1 a 14 dias e 15 a 28 dias após o desmame, respectivamente. Os coeficientes de digestibilidade e metabolizabilidade das rações foram altos, mas não apresentaram diferenças significativas, em relação aos tratamentos.|http://hdl.handle.net/10183/1603
Avaliação nutricional da adição de uréia ao feno suplementado com milho moído|2002|Open Access|Dissertação|Nutricao animal;Suplemento alimentar;Consumo alimentar;Digestibilidade;Milho;Feno;Rúmen|por|Foi realizado um experimento de digestibilidade e consumo para verificar o efeito da suplementação com uréia na dieta composta por feno de Coast Cross (Cynodon dactylon L.) à vontade e 1 % do peso corporal (PC) em milho moído. Foram utilizados 15 bezerros Hereford, inteiros, com 8 a 9 meses de idade e 171,6 kg. Os tratamentos foram: T1 - feno + mistura mineral; T2 - feno + 1 % PC de milho moído + mistura mineral; T3 - T2 + 12,4 g de uréia/100 kg PC; T4 - T2 + 25,4 g de uréia/100 kg PC e T5 - T2 + 38,5 g de uréia/kg PC. O feno tinha 9,55 % de proteína bruta e 81,32 % FDN. Houveram efeitos dos tratamentos sobre a digestibilidade da matéria orgânica da dieta total (DMO) e do feno (DMOf), da FDN da dieta total (DFDN) e do feno (DFDNf), da celulose (DCEL) e da hemicelulose (DHCEL). Os tratamentos com uréia diminuíram os efeitos negativos da suplementação com o milho sobre os coeficientes de digestibilidade estudados. Houveram respostas lineares e significativas da adição de uréia sobre os coeficientes de digestibilidade avaliados quando os tratamentos suplementados com milho foram analisados separadamente. A hemicelulose foi a fração da parede celular que mais respondeu a suplementação de uréia. A suplementação aumentou o consumo de matéria orgânica (CMO) total, entretanto houve uma diminuição do CMO de feno em relação ao consumo de T1, independentemente da adição de uréia. A adição de uréia aumentou linearmente o CMO digestível (CMOD) dos tratamentos suplementados com milho. A relação entre o consumo de proteína degradável e o CMOD das dietas aumentou linearmente com a suplementação com uréia, aumentando, provavelmente, o suprimento de amônia para os microorganismos ruminais. Um correto balanceamento dos suplementos, visando atender as exigências dos microorganismos ruminais por proteína degradável, pode evitar os efeitos associativos negativos da suplementação energética. 1 Dissertação de Mest|http://hdl.handle.net/10183/1605
Consumo de nutrientes digestíveis e excreção de minerais com inclusão de carboaminofosfoquelatos em sais mineralizados para bezerros|2002|Open Access|Dissertação|Nutricao animal;Bezerro;Consumo alimentar;Ruminante;Fezes;Nutriente mineral|por|Foi desenvolvido um experimento com 12 bezerros Hereford, machos, inteiros, pesando em média 95 kg para avaliar a inclusão de minerais na forma de carboaminofosfoquelatos no sal mineralizado num nível equivalente a 0,03% do peso vivo. Os animais foram alimentados com feno de coast-cross ad libitum e 0,75% do peso vivo com casca de soja. Os tratamentos foram a inclusão de 0, 10, 20 e 30% dos minerais na forma de carboaminofosfoquelatos no sal mineralizado, representando um consumo de minerais nesta forma de 0, 0,03, 0,06 e 0,09 g por kg de peso vivo, respectivamente. A utilização de minerais na forma de carboaminofosfoquelatos não afetou o consumo de hemicelulose, MS, MO, FDN e FDA (P>0,1). No entanto, houve uma melhora significativa na digestibilidade aparente da hemicelulose e da FDN (P<0,1) sem que a digestibilidade das demais frações fossem afetadas (P>0,1). De uma forma geral, a excreção fecal de nitrogênio, enxofre, cobre e zinco foi diminuída com o consumo de minerais na forma de carboaminofosfoquelatos entre 30 e 60 mg por kg de peso vivo. A excreção fecal de fósforo não foi afetada pela utilização de minerais nesta forma química. O consumo de matéria seca e matéria orgânica digestível aumentou significativamente de forma linear com os níveis de carboaminofosfoquelatos (P<0,1). Os dados dão indícios de que os carboaminofosfoquelatos podem melhorar o consumo de matéria orgânica digestível e a digestibilidade de algumas frações nutritivas, além de diminuir a excreção fecal de minerais.|http://hdl.handle.net/10183/1658
