Título|Ano de Publicação|Tipo de Acesso|Tipo de Documento|Assuntos|Idioma|Descrição|Link de Acesso
Fatores que contribuem para a manutenção da dor em pacientes com síndrome miofascial : um estudo observacional|2001|Open Access|Dissertação|Neurofisiologia|por|A Sindrome Miofascial constitui, dentre os quadros de dor crônica, o que leva um número expressivo de pacientes a buscar atendimento médico nos Serviços de Tratamento de Dor. Caracteriza-se pela presença de pontos dolorosos localizados na musculatura, chamados de “pontos de gatilho”, e de espasmo muscular, podendo ocorrer limitação funcional e disfunção do sistema vegetativo (Sola & Bonica, 2001). A dor e a limitação funcional decorrentes da Sindrome Miofascial constituem atualmente uma das grandes causas de falta ou afastamento do trabalho, o que acarreta graves problemas econômicos e sociais (Roth et al, 1998; Sola & Bonica, 2001). Seu tratamento pode ser demorado e requer participação ativa por parte do paciente. O índice de melhora dos pacientes portadores de Síndrome Miofascial parece sofrer influência de diversos fatores tais como sintomas depressivos, ansiedade, ganho com os sintomas, etc. Os objetivos deste trabalho foram estabelecer a incidência de sucesso e insucesso da terapêutica proposta e verificar qual a relação daqueles fatores com o desfecho clínico estabelecido. Efetuou-se um estudo observacional. O delineamento experimental realizado foi um estudo de incidência. Estudaram-se 62 pacientes adultos (mais de 18 anos), de ambos os sexos, com diagnóstico de Síndrome Miofascial, que procuraram atendimento no Serviço de Tratamento de Dor e Medicina Paliativa do HCPA. Os instrumentos de aferição utilizados foram a Escala Análoga Visual de Dor (VAS), Escala de Ansiedade Traço- Estado (IDATE), Escala para Depressão de Montegomery-Äsberg, Self-Reporting Questionnaire (OMS), Questionário sobre Expectativa de Futuro e questionário estruturado. Os testes psicológicos e de avaliação da dor foram aplicados em dois momentos, na primeira consulta e ao final do tratamento proposto. Foi considerado como desfecho clínico o insucesso terapêutico, avaliado ao final do estudo. Observaram-se incidência de 71% e 29%, respectivamente, para sucesso e insucesso terapêutico. Os pacientes que estavam afastados do trabalho apresentaram aproximadamente 9 vezes mais chances de insucesso terapêutico. Aqueles que obtiveram ganho com os sintomas apresentaram em torno de 7 vezes mais chances de manutenção da dor ao final do tratamento. Maior ansiedade-estado (razão de chances ou RC = 3,4), expectativa negativa de futuro (RC = 22), sintomas depressivos moderados a intensos (RC =4,5) e presença de distúrbios psiquiátricos menores (RC = 3,6) associaram-se com maiores chances de insucesso terapêutico. Características demográficas, familiares, de ocupação e clínicas não se associaram ao desfecho clínico avaliado. Dos pacientes analisados, 29% permaneceram sem alívio da dor, com dificuldades para dormir e afastados de suas atividades, caracterizando o insucesso terapêutico. Observou-se a associação entre insucesso e presença de distúrbios psiquiátricos menores, sintomas depressivos moderados a intensos, maior estado de ansiedade, ganho com os sintomas e afastamento do trabalho. A abordagem multidisciplinar destes pacientes se faz necessária para elevar os índices de sucesso terapêutico no tratamento da SMF.|http://hdl.handle.net/10183/1314
Traços supra-segmentais da fono-articulação de mulheres no menacme e na pós-menopausa|2001|Open Access|Dissertação|Fisiologia|por|A expressão verbal humana é vital nas relações interpessoais, possui elementos segmentais, supra-segmentais e para-lingüísticos, requer integração entre eventos corticais, neuromusculares, periféricos e, destes com outros sistemas. Influenciada por fatores hormonais, apresenta características diversificadas em mulheres no menacme e na pós-menopausa. Neste estudo foram investigadas relações entre características fono-articulatórias em mulheres no menacme e na pós-menopausa, estas verificadas nas variações de freqüência, intensidade, inflexões, ritmo e velocidade de fala. Foram examinadas 45 mulheres no menacme, com ciclos menstruais regulares e que não faziam contracepção hormonal; e 45 na pós-menopausa há 3 anos ou mais, sem reposição hormonal. As análises acústicas foram realizadas com o programa Motor Speech Profile. Os resultados demonstraram redução da velocidade de fala e aumento de duração de pausas, seguidos pela tendência ao agravamento da voz, modificações de ressonância na pós-menopausa e ainda, inexistiram variações significativas na intensidade. As diferenças entre os grupos parecem decorrer mais das particularidades na interação entre eventos corticais, subcorticais e neuromusculares e menos de mudanças isoladas em estruturas periféricas fono-articulatórias. O conhecimento das alterações da fala que ocorrem em mulheres na pós-menopausa auxiliará no planejamento de estratégias para melhorar a qualidade de vida deste grupo.|http://hdl.handle.net/10183/1315
Estudo comportamental e estereológico em um modelo de tolerância induzida à isquemia em ratos adultos|2001|Open Access|Dissertação|Neurofisiologia|por|A morte neuronal é uma causa importante de disfunção no sistema nervoso central, que se manifesta comportamentalmente como déficits motores, cognitivos ou de memória. Uma causa importante de morte neuronal é a isquemia que é definida como a falta, ou diminuição, do aporte de sangue para os tecidos (GINSBERG, 1995 a; PULSINELLI, 1997). A região CA1 do hipocampo é a mais vulnerável à isquemia (PULSINELLI et al., 1982; SCHIMIDT-KASTNER & FREUND, 1991; NETTO et al., 1993; NELSON et al., 1997), e está relacionada com a memória tanto em humanos como em animais (SQUIRE, 1992). Vários trabalhos mostram que os animais isquêmicos apresentam pior desempenho em tarefas de aprendizado e memória (GINSBERG, 1997; SQUIRE, 1992; NETTO et al., 1993; NELSON et al., 1997). Estratégias visando proteger as células contra um dano letal vêm sendo estudadas há vários anos. A tolerância induzida à isquemia é a neuroproteção induzida por uma isquemia transitória breve a um evento isquêmico transitório de longa duração. Em geral, um evento isquêmico breve, de 2 minutos de duração, protege contra a morte celular induzida por uma isquemia grave, de 10-20 minutos de duração, desde que haja um período de 24 horas entre os dois eventos isquêmicos (CHEN & SIMON, 1997; KITAGAWA et al., 1997; BARONE et al., 1998; ROSA NETO, 1998). O presente trabalho teve como objetivo reproduzir o fenômeno da tolerância induzida à isquemia em ratos adultos e avaliar o efeito da tolerância induzida sobre o aprendizado e a memória da tarefa no labirinto aquático de Morris e sobre o volume da região CA1 hipocampal, pelo método de Cavalieri, em ratos submetidos à isquemia transitória grave. Os animais foram submetidos a um estudo do aprendizado da tarefa de localização da plataforma em um labirinto aquático em três fases. O labirinto aquático foi dividido virtualmente em 4 quadrantes com um ponto de largada entre cada um. Na primeira fase, a plataforma foi colocada em um dos quadrantes, onde permaneceu durante os 6 dias de treino., com 4 largadas em cada dia, e um teste no 7º dia sem a plataforma. Na segunda fase foram 4 dias de treino, seguido pelo teste, com a plataforma no quadrante oposto. Na última fase, a plataforma era colocada em um local diferente a cada dia para testar a memória de trabalho. Não foi observado diferença estatisticamente significativa nas latências para encontrar a plataforma entre os grupos controle e isquêmicos em todas as tarefas. Na análise do volume da região CA1, observamos uma diminuição de 20% nos animais submetidos à isquemia de 10 min., comparado com os dos grupos controle, isquemia de 2 min. e isquemia de 2+10 min. (neuroproteção) (p<0.05). Estes resultados comportamentais estão de acordo com os encontrados por alguns autores (KIYOTA et al., 1991; GREEN et al., 1992), porém outros autores relatam resultados diferentes (NETTO et al., 1993; IQBAL et al., 2001). As diferenças entre as metodologias utilizadas poderiam explicar parcialmente os resultados divergentes, também podemos supor que, 20% de diminuição de volume não é suficiente para provocar comprometimento do aprendizado.|http://hdl.handle.net/10183/1316
Influencia de variaveis ambientais sobre a temperatura do ar na area urbana de Porto Alegre, RS|1989|Open Access|Dissertação|Clima : Porto Alegre (RS);Ecologia urbana;Climatologia urbana;Temperatura : Variaveis ambientais : Porto Alegre (RS)|por|Com o objetivo de verificar qual o controle mais importante das temperaturas no meio urbano, correlacionou-se a temperatura observada em seis estações meteorológicas com três índices representativos do ambiente em torno de cada abrigo meteorológico. Os dados de temperatura corresponderam às médias das temperaturas mínimas e às médias das temperaturas máximas do período abril 1985-março 1986. Também foram extraídos deste conjunto de dados, amostras sazonais de 2 dias consecutivos com tempo anticiclônico. O ambiente em torno dos abrigos meteorológicos foi caracterizado por três variáveis: ângulo de obstrução do horizonte (obstrução por edificações, por vegetação e máxima obstrução), cobertura, vegetal em 10.000 m2 e 40.000 m2 e superfície com edificações também em 10.000 m2 e 40.000 m2. A correlação da obstrução do horizonte por edificações com a média das temperaturas mínimas foi a mais significativa. Diferenças observadas entre a situação outono-inverno e primavera-verão, entretanto, sugerem controle significativo da circulação atmosférica regional.|http://hdl.handle.net/10183/1317
Efeito da administração crônica pós-natal dos ácidos propiônico e metilmalônico sobre o comportamento de ratos no labirinto aquático de Morris (Water Maze) e sobre alguns parâmetros bioquímicos de estresse oxidativo em hipocampo|2001|Open Access|Dissertação|Bioquímica|por|As acidemias propiônica e metilmalônica são desordens neurometabólicas hereditárias caracterizadas por progressiva deterioração neurológica, retardo mental, atraso no desenvolvimento psicomotor, convulsões e coma. A fisiopatologia do dano cerebral característico destas doenças ainda é pouco conhecida. No presente estudo investigamos o efeito de administração crônica (5o ao 28o dia de vida) dos ácidos propiônico (PA) e metilmalônico (MA), que são os metabólitos acumulados em maiores concentrações nos pacientes portadores das acidemias propiônica e metilmalônica, respectivamente, sobre o comportamento de ratos e sobre alguns parâmetros bioquímicos de estresse oxidativo no hipocampo dos animais. O comportamento dos animais foi avaliado 30 dias após o término do tratamento nas tarefas do labirinto aquático de Morris e no campo aberto. Os parâmetros bioquímicos avaliados foram o potencial antioxidante total do tecido (TRAP) e a atividade das enzimas catalase, superóxido dismutase e glutationa redutase. Todos as análises bioquímicas foram realizadas em hipocampo, estrutura fundamental para a localização espacial, requerida na tarefa do labirinto aquático de Morris. As doses de propionato ou metilmalonato foram administradas de acordo com as preconizadas nos modelos experimentais destas acidemias, tomando em consideração o peso e da idade dos animais. Os ratos controles receberam solução salina nos mesmos volumes. A administração de PA ou MA não alterou o peso dos animais. Entretanto foi encontrado um déficit de aprendizado e memória no grupo tratado com PA, e um déficit de memória no grupo tratado com MA. Nenhum dos grupos testados apresentou alterações na atividade motora (número de cruzamentos) na tarefa do campo aberto. Também determinamos o efeito da co-administração de ácido ascórbico nos animais tratados cronicamente com PA ou MA. Encontramos que o ácido ascórbico preveniu o déficit cognitivo provocado pela administração crônica de PA e MA. Por outro lado, verificamos que os tratamentos crônicos com PA e MA diminuíram o TRAP no hipocampo dos ratos, sem alterar a atividade de nenhuma das enzimas testadas. A prevenção do déficit cognitivo pelo ácido ascórbico associada à diminuição do TRAP no hipocampo dos animais tratados cronicamente com PA ou MA sugere que o estresse oxidativo pode estar relacionado com o déficit cognitivo encontrado no presente trabalho. Concluindo, nossos resultados indicam que o estresse oxidativo pode estar envolvido, ao menos em parte, com o dano cerebral nos pacientes afetados pelas acidemias propiônica e metilmalônica.|http://hdl.handle.net/10183/1318
Efeito da amônia sobre as convulsões e a inibição da sucinato desidrogenase induzidas por ácido metilmalônico|2001|Open Access|Dissertação|Bioquímica|por|A hiperamonemia é um achado comum em crianças com acidemia metilmalônica, um erro inato do metabolismo caracterizado por retardo mental, convulsões e acúmulo tecidual de ácido metilmalônico (MMA). Embora existam evidências de que o MMA induza convulsões por inibição da sucinato desidrogenase (SDH), muito pouco se sabe sobre a contribuição da hiperamonemia para o desenvolvimento das convulsões nestes pacientes. No presente estudo investigou-se os efeitos do acetato de amônio sobre a ação convulsivante do MMA in vivo e do cloreto de amõnio sobre a inibição da SDH estriatal induzida pelo MMA in vitro. Ratos adultos foram injetados com acetato de amônio (1,5 mmol/kg, s.c.) ou acetato de sódio (1,5 mmol/kg, s.c.) e, após 5 minutos, injetados unilateralmente no estriado com MMA (3 µmol/µl) neutralizado para pH 7,4 com NaOH ou NaCl (4,5 µmol/µl). O pré-tratamento com acetato de amônio aumentou o número e durações dos episódios convulsivos induzidos pelo MMA. O cloreto de amônio não teve efeito sobre a atividade da sucinato desidrogenase e não alterou a inibição da SDH induzida pelo MMA in vitro. Estes resultados sugerem que a amônia potencializa os efeitos comportamentais induzidos pelo MMA por mecanismos que não envolvam adicional inibição da SDH. Este estudo provê evidências de que a hiperamonemia pode potencializar os efeitos neurotóxicos do MMA.|http://hdl.handle.net/10183/1593
Transformação genética em cevada por bombardeamento de partículas|2002|Open Access|Tese|Bipolaris sorokiniana;Cevada;Melhoramento genetico;Hordeum vulgare;Variação genética;Plantas transgênicas;Bombardeamento de partículas;Metarhizium anisopliae;Quitinase;Biobalística;Trichoderma;Gene repórter gusA|por|A presente Tese de Doutorado objetivou: (1) definir um método eficiente de transformação genética, por bombardeamento de partículas, para a obtenção de plantas transgênicas de cultivares brasileiras de cevada e (2) identificar gene(s) codificante(s) de quitinase(s) potencialmente capaz(es) de conferir resistência ao fungo patogênico de cevada Bipolaris sorokiniana. Culturas de calos obtidos a partir de escutelos imaturos das cultivares Brasileiras de cevada MN-599 e MN-698 (Cia. de Bebidas das Américas, AMBEV) foram bombardeadas com partículas de tungstênio e avaliadas quanto à expressão do gene repórter gusA através de ensaios histoquímicos de GUS e quanto ao efeito dos bombardeamentos na indução estruturas embriogênicas e regeneração de plantas. As condições de biobalística analisadas incluíram a região promotora regulando a expressão de gusA, tipo e pressão de gás hélio de dois aparelhos de bombardeamento, distância de migração das partículas, número de tiros e a realização de pré e pós-tratamento osmótico dos tecidos-alvo. No presente trabalho foram obtidos um número bastante alto de pontos azuis por calo,  a indução de calos embriogênicos e embriões somáticos em uma freqüência de até 58,3% e a regeneração de 60 plantas, sendo 43 de calos bombardeados. As melhores condições observadas foram o promotor e primeiro íntron do gene Adh de milho (plasmídeo pNGI), o aparelho de bombardeamento “ Particle Inflow Gun” (PIG) utilizando-se a distância de migração de partículas de 14,8 cm, dois tiros disparados por placa e a realização de tratamento osmótico dos explantes com 0,2 M de manitol e 0,2 M de sorbitol 4-5 horas antes e 17-19 horas depois dos bombardeamentos. Das 43 plantas obtidas de calos bombardeadas, 3 apresentaram atividade de GUS na base das suas folhas. A utilização de primers sintéticos definidos a partir de genes de quitinases descritos na literatura em PCRs resultou na amplificação de dois fragmentos de aproximadamente 700 e 500 pb a partir de DNA total das cvs. MN-599 e MN-698 de cevada e um fragmento, com aproximadamente 500 pb, a partir do DNA total do isolado A4c de Trichoderma sp. Estes fragmentos foram purificados dos géis de agarose e diretamente seqüenciados de forma manual e automática.  Os fragmentos de 700 e 500 pb amplificados do genoma da cultivar MN-599 foram identificados como genes de quitinases de cevada e o fragmento de 500 pb do isolado A4c de Trichoderma sp. não apresentou homologia com seqüências conhecidas de quitinases depositadas no EMBL/GenBank. A utilização de novos pares de primers, representando seqüências conservadas de quitinases do fungo Metarhizium anisopliae, resultou na amplificação de 3 fragmentos a partir do DNA total do isolado A4b de Trichoderma sp., que estão sendo purificados para realização de seqüenciamento.;The present Tesis aimed: (1) to determine an efficient method of genetic transformation by particle bombardment to obtain transgenic plants of Brazilian barley cultivars and (2) to identify a gene coding for chitinase that could confer resistance to barley against the pathogen Bipolaris sorokiniana. Calli cultures derived from immature scutella of Brazilian barley cultivars MN-599 e MN-698 (American Beverage Company, AMBEV) were bombarded with tungsten particles and analyzed for gusA reporter gene expression by GUS histochemical assay, embryogenic structures induction and plant regeneration. Physical and biological biolistic conditions analyzed included two promoter regions regulating the gusA gene, two particle bombardment devices, different helium pressures, distances between target tissues and the initial position of particles, number of shots and use of osmotic pre- and post-treatment of tissues. In the present work there were observed high numbers of blue spots per callus, embryogenic calli and somatic embryos induction with a frequency until 58.3% and the regeneration of 60 plants, being 43 from bombarded calli. The best conditions were obtained with the employment of the Adh promoter and its first intron (pNGI plasmid),  Particle Inflow Gun (PIG) device, 14.8 cm of distance, 2 shots per plate and osmotic treatment of tissues with 0.2 M mannitol and 0.2 M sorbitol during 4-5 hours prior to and 17-19 hours after bombardments. Leaves from 3 out of 43 regenerated plants showed positive GUS activity in histochemical assays. The use of primers defined from chitinase genes described in literature resulted in the amplification of two fragments with approximately 700 and 500 bp from genomic DNA of MN-599 e MN-698 barley cultivars and one fragment, with approximately 500 bp, from Trichoderma sp. strain A4c genomic DNA. These fragments were purified from agarose gel and manual and automatically sequenced. Fragments of 700 and 500 bp from cv. MN-599 were identified as chitinase genes of barley and fragment of 500 bp Trichoderma sp. A4c presented no homology with chitinase sequences deposited in the EMBL/GenBank. The use of new primers representing conserved chitinase sequences of Metarhizium anisopliae resulted in the amplification of three fragments from genomic DNA of Trichoderma sp. strain A4b. These fragments should be purified and sequenced|http://hdl.handle.net/10183/1705
O mutante pso9-1 de Saccharomyces cerevisiae, sensível a psoralenos fotoativados, contém um alelo mutante do gene MEC3 envolvido em checkpoint|2002|Open Access|Dissertação|Saccharomyces cerevisiae;Mutagenese;Gene mec3;Pso9-1|por|Análises de complementação do mutante pso9-1, sensível a psoralenos mono- e bifuncionais fotoativados, UV254nm e nitrosoguanidina, com os mutantes pso1 a pso8, confirmou que este contém uma nova mutação pso. A clonagem molecular a partir de um banco genômico de levedura sugeriu pso9-1 como alelo mutante do gene de checkpoint que responde a danos no DNA MEC3. A não-complementação de vários fenótipos de sensibilidade em diplóides pso9-1/mec3∆ confirmou o alelismo dos dois mutantes. A sensibilidade à calcofluor white e à cafeína não foi aumentada nas linhagens pso9-1 e mec3∆, em relação as suas respectivas selvagens, sugerindo que o mutante pso9-1 não porta uma mutação na região promotora. O fenótipo mutante de mec3∆ foi levemente mais pronunciado para sensibilidade à 8-MOP + UVA e UVC, e para a supressão de mutação para frente induzida por UVC, sugerindo uma função residual para a proteína produzida por este alelo mutante.|http://hdl.handle.net/10183/1709
Variabilidade genética no Complexo Principal de Histocompatibilidade (MHC) de três espécies de mamíferos marinhos da costa do Rio grande do Sul|2002|Open Access|Dissertação|Complexo principal de histocompatibilidade;Mamíferos marinhos;Genética de populações;Variação genética;Pontoporia blainvillei;Eubalaena australis;Arctocephalus australis|por|O MHC (Major Histocompatibility Complex) é um sistema genético importante para a manutenção de espécies ameaçadas, uma vez que baixa variabilidade para locos MHC tem sido associada a uma menor capacidade de resposta a doenças e diminuição do sucesso reprodutivo. Deste modo, pesquisas sobre a variabilidade genética do MHC têm demonstrado ser bastante informativas em estudos populacionais voltados para aspectos referentes à conservação. No presente trabalho foi investigada a variabilidade genética do MHC para três espécies de mamíferos marinhos (toninha, baleia franca austral e lobo marinho sul-americano) do sul do Brasil, com intensa mortalidade provocada por atividades humanas atuais ou passadas. As amostras foram coletadas de animais mortos encalhados na costa, de animais capturados acidentalmente por barcos pesqueiros, e também através de um sistema de biópsia. A região variável do exon 2 do gene DQB do MHC foi amplificada por PCR (Polymerase Chain Reaction) em 109 amostras de toninhas (Rio de Janeiro n=32, Rio Grande do Sul n=52, Argentina n=25), 35 amostras de lobo marinho sul-americano e 30 amostras de baleia franca austral, utilizando-se um par de primers heterólogos. O fragmento resultante de 172 pares de bases foi analisado quanto ao polimorfismo de seqüência através da técnica de SSCP (Polimorfismo de Conformação de Fita Simples) em todas as amostras de toninha e de lobo marinho sul-americano e 14 amostras de baleia franca austral. Dificuldades associadas à amplificação resultaram em padrões de SSCP pouco informativos para as amostras de lobo marinho sul-americano e baleia franca austral  Todas as amostras de toninha apresentaram um padrão de pelo menos 4 bandas por indivíduo. As 4 bandas de um único indivíduo do Rio Grande do Sul foram seqüenciadas, tendo sido possível verificar que 2 seqüências relacionadas ao genes DQB estão sendo amplificadas com estes primers. Pelas análises de SSCP foi possível detectar ausência de variabilidade para as amostras de toninha provenientes do Rio de Janeiro e diferenciá-las da população da Argentina, que é polimórfica. A população do Rio Grande do Sul parece apresentar níveis intermediários de variação em relação aos extremos da distribuição da espécie. Analisando as três populações amostradas, conclui-se que a espécie apresenta baixos níveis de variabilidade para o loco DQB, a exemplo do que é reportado para os genes de MHC de outros mamíferos marinhos.|http://hdl.handle.net/10183/1713
Sistema purinérgico na memória da tarefa de esquiva inibitória em córtex cingulado e córtex pré-frontal de ratos|2001|Open Access|Dissertação|Bioquímica|por|A memória pode ser definida como o armazenamento e a evocação de uma informação aprendida. Sendo um processo dinâmico, requer a ativação de diversos sistemas para que a informação adquirida seja consolidada. O ATP é um importante neurotransmissor que, após a sua liberação e conseqüente ativação de seus receptores específicos, precisa ser inativado. Esta remoção do ATP da fenda sináptica ocorre através de sua hidrólise promovida pelas ectonucleotidases. Como um dos produtos da hidrólise do ATP, a adenosina é considerada um potente neuromodulador e exerce suas ações através de receptores específicos com ações excitatórias (A2A e A2B ) ou inibitórias (A1 e A3). Vários trabalhos já demonstraram a participação do sistema purinérgico nos processos relacionados a memória da tarefa da esquiva inibitória. Estudos realizados em nosso laboratório mostraram a participação das ectonucleotidases sinaptossomais de hipocampo, córtex entorrinal e córtex parietal na consolidação da memória para esquiva inibitória. No entanto, existem poucos estudos a respeito do sistema purinérgico nos mecanismos de consolidação da memória em outras regiões cerebrais, tais como o córtex cingulado anterior (CA) e posterior (CP) e a área pré-central medial (FR2). Portanto, na primeira parte deste estudo, avaliamos as atividades ectonucleotidásicas em sinaptossomas de CA, CP e FR2 de ratos submetidos à tarefa de esquiva inibitória. Nossos resultados demonstraram um aumento na hidrólise de ATP em sinaptossomas de FR2 e CA; e na hidrólise de ADP em sinaptossomas de FR2 e CP. Este aumento na hidrólise de ATP e ADP ocorreu devido ao choque administrado na tarefa, já que o grupo de animais que não recebeu choque não apresentou alterações na hidrólise de ATP e ADP. Este efeito observado provavelmente não está associado à consolidação da memória, mas a mudanças neuroquímicas e neurohumorais induzidas pelo estresse após o choque. Além disso, foi observado um aumento relacionado ao aprendizado na atividade ATPásica e ADPásica em CP e CA, respectivamente. Estes resultados sugerem fortemente que estas enzimas participam da consolidação da memória em CP e CA. O aumento na hidrólise de ATP e ADP sugere um possível aumento na concentração de adenosina nestas regiões. Portanto, na segunda parte deste estudo, verificamos a influência de agonistas e antagonistas de receptores de adenosina nas memórias de curta (STM) e de longa (LTM) duração na tarefa de esquiva inibitória. Então, neste estudo administramos intrafusões de análogos de adenosina em CP, imediatamente após o treino em esquiva inibitória. Os resultados demonstraram que a intrafusão de DPCPX, um antagonista de receptores A1, em CP, na concentração de 50 nM, aumentou significativamente a retenção da tarefa em ambas STM e LTM. Além disso, a administração de CPA, um agonista de receptores A1 de adenosina, não alterou ambas STM e LTM nas concentrações testadas. Portanto, este estudo sugere que os receptores A1 exercem uma modulação inibitória em CP tanto na STM quanto na LTM para o aprendizado de esquiva inibitória. A regulação dos níveis de ATP e adenosina pelas ectonucleotidases em CP, CA e FR2 controlaria a ativação dos receptores A1 nestas estruturas, podendo exercer efeitos modulatórios na consolidação da memória nestas estruturas.|http://hdl.handle.net/10183/1743
