Título|Ano de Publicação|Tipo de Acesso|Tipo de Documento|Assuntos|Idioma|Descrição|Link de Acesso
Desenvolvimento do saltar à horizontal : uma análise topológica|1992|Open Access|Dissertação|Atletas;Desenvolvimento motor;Coordenação motora;Controle do movimento;Dynamic systems;Control;Coordination;Standing long jump;Sistemas dinâmicos;Control;Coordinación;Salto horizontal|por|O objetivo deste estudo foi investigar a organização espaço-temporal dos segmentos da perna e da coxa no saltar à horizontal, verificando as infiuências do organismo e do ambiente (dois tipos de piso: concreto e areia). Participaram do estudo 21 sujeitos, 3 de cada faixa etária: 4, 5, 7, 9, 11, 13 e adulta (X = 19 anos de idade). Os sujeitos foram filmados realizando o saltar à horizontal com marcas desenhadas no centro das articulações do tornozelo, joelho e quadril. Estes pontos foram digitalizados e processados obtendo a posição e velocidade angular dos segmentos da perna e da coxa. A partir da posição e velocidade angular foi possível delinear os gráficos dos atratores (retratos de fase) e calcular os valores dos ângulos de fase para cada segmento, durante a realização da tarefa. Duas reversões para cada segmento, na posição angular, foram identificadas e nestes momentos os valores dos ângulos de fase foram capturados. Analisando as trajetórias dos retratos de fase verificou-se que os segmentos da perna e da coxa apresentaram um conjunto específico de características topológicas, na realização do saltar à horizontal. A análise dos valores dos ângulos de fase, nas duas reversões, indicou que ao longo das faixas etárias e nos dois tipos de piso os segmentos da perna e da coxa apresentaram organização espaço-temporal semelhante, indicando coordenação invariante.;The aim of this investigation was to identify the space-temporal organization of the thigh and shank segments in the standlng long jump, and to verify the organlsmic and environmental (two kinds of pavement: concrete and sand) inlluences on performance. Twenty one subjects, three of each age 4, 5, 7, 9, 11, 13 and adults (X = 19 years old), were recorded performing the standlng long jump with marks on the joint centers of the ankle, knee and hip. Tliese points were digitalized and processed Io obtain angular position and velocity of the shank and of the thigh. From angular position and velocity were delineated and phase angle values were calciilalcd for cach scgment during task performance Two reversals for each segment, in the position angular, were identified and phase angle values were captured. The analysis of phase portrait trajectories showed that shank and thigh have a specific topological set. Based on the analysis of angle phase values, in two reversal monients, it was verified that, across ages and in two kinds of surfaces, shank and thigh segments have the same space-temporal organization, showing invariant coordination.;El objetivo de este estúdio fue investigar Ia organización espacio temporal de los segmentos de Ia perna y de Ia coxa al saltar horizontalmente verificando Ias influencias dei organismo y dei ambiente (dos tipos de piso; cemento y arena). Paticiparon dei estúdio 21 sujetos, 3 de cada clase de edad: 4, 5, 7, 9, 11, 13 y adulta (X = 19 anos de edad). Los sujetos fueron filmados realizando el salto horizontal con marcas dibujadas en el centro de Ias articulaciones dei tobillo, rodilla e anca. Estos puntos fueron digitalizados y procesados obteniendo Ia posición y velocidad angular de los segmentos de Ia pierna y de Ia coxa. A partir de Ia posición y velocidad angular fue posible delinear los gráficos de ios atratores (retratos de fase) y calcular los valores de los ângulos de fase para cada segmento, durante Ia realización de Ia tarefa. Dos reverciones para cada segmento, en Ia posición angular, fueron identificadas y en estos momentos los valores de los ângulos de fase fueron registrados. Analisando Ias trayectorias de los retratos de fase se verifico que los segmentos de Ia pierna y de Ia coxa presentaron un conjunto específico de características topologicas, en Ia ejecución dei salto horizontal. El análisis de los valores de los ângulos de fase, en Ias dos reversiones, indico que a Io largo de ias classes de edad y en los dos tipos de piso los segmentos de Ia pierna y de Ia coxa presentaron organización espacio-temporal semejante, indicando coordinación invariante.|http://hdl.handle.net/10183/1321
O método francês e a educação física no Brasil : da caserna a escola|1992|Open Access|Dissertação|Educação física e treinamento;Brasil|por|Ao situar-se no âmbito das ciências sociais, este estudo está orientado no sentido de historicizar um conteúdo da Educação Física de forma a apreender suas origens, desdobramentos e fundamentalmente suas implicações à Educação Física brasileira. A opção pelo Método Francês se deu em função da constatação da importância que este adquiriu no Brasil, não apenas por ter sido conteúdo hegemônico da Educação Física por um longo período de tempo mas, principalmente, porque pela maneira com que se desenvolveu acabou deixando marcas profundas no fazer pedagógico dessa disciplina curricular. Através do aporte teórico-metodológico privilegiado pelo estudo, pude observar que o Método Francês esteve voltado para a formação do soldado combatente e do trabalhador produtivo, sendo orientado por uma matriz biológica e respaldado por uma abordagem positivista de ciência onde o movimento humano foi entendido a partir de seu caráter anátomo-mecânico e os homens e mulheres percebidos unicamente pela sua dimensão biológica. No que se refere à adoção e oficialização do Método Francês no Brasil, percebi que esteve direcionado para o aprimoramento da saúde, o fortalecimento da raça, a consolidação de certas disciplinas e a manutenção da ordem. Razão pela qual foi obrigatório nas instituições escolares, onde traduziu a mesma orientação representando, à nível das atividades físicas, uma transposição do trabalho realizado na caserna à escola.|http://hdl.handle.net/10183/1322
Famílias com desenvolvimento funcional e disfuncional : validação das escalas diagnósticas faces iii, beavers-timberlawn e escala global do funcionamento internacional (garf)|1997|Open Access|Dissertação|Família;Escalas de graduação psiquiátrica;Psiquiatria|por|Realizou-se um estudo transversal de aplicação de três escalas americanas diagnósticas do funcionamento familiar (FACES III, Beavers-Timberlawn e GARF) em trinta e uma famílias, examinadas na clínica, visando sua validação, em nosso meio, em relação ao padrão-ouro da avaliação clínica, feita através de entrevista familiar semi-estruturada. Também estudou-se o comportamento da escala auto-respondida FACES III em cento e duas famílias da comunidade. Os resultados em relaçõa ao FACES III mostraram uma correlação linear positiva, mas baixa, entre a coesão familiar e risco para doença mental. Não apareceu correlação estatisticamente significativa em relação à adaptabilidade. Os achados confirmam os resultados publicados recentemente na literatura de que o FACES III é um instrumento que não traduz o modelo circumplexo de funcionamento familiar de Olson. As escalas Beavers-Timberlawn e GARF tiveram como resultado correlação positiva e alta com a avaliação clínica, demonstrando grande utilidade na formulação e classificação do diagnóstico do funcionamento familiar.|http://hdl.handle.net/10183/1369
As desigualdades sociais na distribuição de fatores de risco para doenças não transmissíveis|1991|Open Access|Tese|Saúde pública;Fatores socioeconômicos;Fatores de risco|por|Embora as doenças nào transmissíveis representem um problema grande e crescente no Brasil, pouco se conhece hoje sobre a distribuição de vários de seus jâ bem definidos fatores de risco biológico-comportamentais. Para caracterizar o grau em que as prevalências desses fatores variam, individualmente e em combinação, em função do alcance escolar, renda e classe social, foram analisados dados de um estudo transversal, domiciliar, com 1157 adultos, entre 15 e 64 anos de idade, residentes em Porto Alegre (RS), Brasil, em 1986 e 1987. Mesmo diante de um elenco rico e diverso de associaçftes encontradas, variando em função do fator de risco e da dimensão social analisada, verificou-se que as categorias sôcio-econômicas mais baixas geralmente estavam relacionadas com as maiores prevalência de fatores de risco. Nas mulheres, em análise ajustadas por idade e cor, fumo, consumo excessivo de álcool, obesidade e estilo sedentário de vida foram mais prevalentes nas categorias sôcio-econômicas mais baixas; em homens, fumo e consumo excessivo de álcool foram igualmente mais prevalentes. Obesidade e sedentarismo geral, nos homens, foram em geral menos prevalentes nas categorias sociais mais baixas. Controlando, através de regressão logística, os efeitos simultâneos das variáveis idade, cor, situação de emprego, estado civil e número de adultos elegíveis no domicílio, além dos efeitos das outras dimensões sociais, revelaram-se as seguintes associações; as prevalências de fumo, nos homens, estavam mais associadas ao alcance escolar (Razão de chances RC = 4,5 para indivíduos que não atingiram a la série do Ig grau, versus os que alcançaram nível superior; p = 0,06 para tendência geral) e nas mulheres, à classe social (RC = 3 com intervalo de confiança (IC) 95*/. de [1,5 5,9] para o subproletariado (SP), versus a nova pequena burguesia (NPB); o consumo excessivo de álcool, em homens, estava mais relacionado à classe (RC = 3,8 [0,99 14] para SP versus NPB); freqüência maior de obesidade, estava associada ao alcance escolar, em mulheres (RC = 2,2; p < 0,05 para a tendência geral) e em homens (RC = 2,4; p = 0,29 para tendência); freqüências menores de obesidade e sedentarismo geral nos homens, estavam relacionadas à classe social (RC da obesidade = 0,05 [0,01 0,48] para SP e RC do sedentarismo geral - 0,25 [0,08 0,82] para o proletariado típico, respectivamente, ambos comparados com a NPB). As análises do sedentarismo no lazer, para os homens, e do sedentarismo em geral, nas mulheres, não mostraram um padrão claro nas associações estudadas. Prevalências de hipertensão, em análises semelhantes, tenderam a ser mais altas quando associadas ao alcance escolar, em homens (RC = 2,5 ; P < 0,05 para a tendência geral) e, ao contrário do esperado, foram significativamente menores nos homens do proletariado típico (RC = 0,15 [0.02 0.89]) e nas mulheres do proletariado não típico (RC = 0,29 [0.08 0.95]), sempre comparando com a NPB. Indivíduos de menor renda, após controle pelos efeitos do alcance escolar e classe social, em geral mostraram uma tendência para menores prevalências. Com relação ao acúmulo dos fatores de risco, o alcance escolar foi a dimensão sócio—econômica mais consistente: entre as mulheres, considerando o sedentarismo geral em combinação com os outros fatores de risco, as razões de chances, associadas á situação de haver dois ou mais fatores, foram de 2,0 (p < 0.05 para a tendência geral). Os homens de menor alcance escolar, considerando o sedentarismo no lazer em combinação com os outros fatores de risco, acumularam em média 0.49 mais fatores do que aqueles de nível de escolaridade superior (p < 0.01 para a tendência geral). ApOs o controle estatístico da variável alcance escolar, renda e classe social apresentaram pouco ou nenhum efeito no acúmulo de risco. 0 fumo e o estilo sedentário de vida foram os fatores de risco que mais freqüentemente se acumularam, nos indivíduos pesquisados. Em suma, os menos privilegiados da sociedade tendem a apresentar maiores prevalências dos fatores de risco biológicocompartamentais, aqui estudados, para doenças crônicas não transmissíveis, particularmente quando a categoria social é expressa em termos de alcance escolar.|http://hdl.handle.net/10183/1372
Diagnostico de saude de uma comunidade na zona norte de Porto Alegre, RS : comparação entre os respondentes e os não-respondentes|1989|Open Access|Dissertação|Diagnóstico da situação em saúde;Pobreza;Brasil;Porto Alegre (RS)|por|Resumo não disponível.|http://hdl.handle.net/10183/1388
Paracoccidioidomicose : estudo clinico e radiologico das lesoes pulmonares e seu diagnostico|1979|Open Access|Dissertação|Paracoccidioidomicose|por|Resumo não disponível.|http://hdl.handle.net/10183/1399
Caracterização de famílias de crianças em situação de violência intrafamiliar|2001|Open Access|Dissertação|Violência intra-familiar : Criança;Violência domiciliar;Maus-tratos infantis;Violência : Criança|por|Trata-se de um estudo descritivo do tipo exploratório que utilizou uma abordagem combinada quantitativa e qualitativa para caracterizar as famílias de crianças em situação de violência intrafamiliar, atendidas pela “Equipe de Proteção às Crianças Vítimas de Maus-tratos e Violência Sexual”, no Hospital de Clínicas de Porto Alegre (HCPA), no ano de 1999. A coleta de dados foi realizada por um roteiro estruturado elaborado pela pesquisadora, constituído de quatro dimensões pré-estabelecidos – sócioeconômica, estrutura e funcionamento familiar, situação atual do abuso do contexto familiar e história pregressa da família – preenchido através dos prontuários e protocolos das crianças atendidas no HCPA. Os dados quantificáveis foram analisados com auxílio da estatística descritiva, e os qualitativos pelo método de análise de conteúdo, segundo Bardin (2000). Assim formaram sete categorias: organização familiar, relacionamento familiar, percepção dos adultos sobre a criança vítima de violência, justificativas de utilização da violência, ações maternas frente à violência, motivos da procura do serviço de saúde e a trajetória da família na instituição hospitalar. A maioria das famílias pesquisadas possuíam precária inserção sócioeconômica com baixo nível de escolaridade, desempregadas, inseridas no mercado formal e/ou informal. Eram predominantes da região central de Porto Alegre, demonstrando uma diversidade de arranjos e fragilidade nas relações familiares, com confusão de papéis e disputa de autoridade. Algumas famílias registraram ausência da figura paterna  Características importantes constatadas entre os adultos: progenitores adolescentes, jovens, vivendo responsabilidade de adulto, o elevado padrão do uso abusivo de drogas, presença de aleitamento materno e gravidez não desejada. Houve um predomínio de negligência em relação a outras formas de violência praticadas, sendo que o ato violento foi cometido de forma intencional, mas o agressor não apresentava justificativa para o fato. A mãe configurou-se como a maior agressora e, simultaneamente, a principal cuidadora da criança. Nesse estudo, a criança mais atingida foi a do sexo masculino, raça branca, evidenciando lesão e apresentando longo período de convivência com o agressor que sempre era alguém muito próximo a ela. As famílias envolvidas procuraram atendimento de forma espontânea, mas a queixa de violência estava implícita. A pesquisa permitiu contextualizar a violência como social e histórica, presente em larga escala na sociedade brasileira uma sociedade desigual na qual se pratica violência dentro da família contra a criança, legitimando uma forma de poder estruturante nas relações sociais e na interação com fatores individuais econômicos e culturais. Assim, verificou-se a fundamental importância da atuação do enfermeiro no enfrentamento da problemática questão da violência intrafamiliar contra a criança.|http://hdl.handle.net/10183/1406
Colonização intracavitária pulmonar por Aspergillus niger : análise de suas peculiaridades|1987|Open Access|Tese|Aspergilose;Aspergillus niger;Pneumopatias fúngicas;Infecção hospitalar|por|Trezentos pacientes portadores de colonização intracavitária pulmonar (pelos exames soro lógico e/ou tecidual) foram investigados num período de 10 anos. Os casos foram classificados como: Aspergillus fumigatus (246 casos); Ao niger (21 casos); A. flavus (7 casos); Pseudallescheria boydii (1 caso); colonização fúngica não especificada (21 casos) e colonização actinomicética (4 casos). os grupos A. niger (çasos)e A. fumigatus (controles) foram comparados a respeito de variáveis clínicas e laboratoriais, por serem os mais freqUentes e pela pobreza da literatura sobre A. niger. Esta análise mostrou associações estatisticamente significativas com o A. niger para;sexo masculino (Razão de Chances = 3,28; p <0,05); infecção nosocomial, ocorrendo em hospitais de conservação precária (RC = 150,8; p< 0,001); tuberculose ativa (RC = 8,03; P <0,001); diabete mélito tipo 11 (RC = 10,67; p<O,OOl); e êxito letal (RC = 3,1; p<0,02). Por outro lado, cristais de oxalato de cálcio no escarro e oxalose sitêmica só ocorreram no grupo A.niger. As implicações etiológicas e diagnósticas destes achados sao discutidas, enfatizando o papel do ambiente externo, da oxalose, do acúmulo de ácidos e da tuberculose ativa na etiopatogenia do A. niger.;Three hundred patients with intracavitary pulmonary colonization (by serologic and/or tissue examinations) were analysed during a ten years period. The cases were classified as: Aspergillus fumigatus (246 cases); A. niger (21 cases); A. flavus (7cases); Pseudallescheria boydii (1 case); fungal colonization not especified (21 cases) and actinomycetic colonization (4 cases). Due to their frequency and the scarcity of literature about A. niger, the groups A. niger (cases) and A. fumigatus (controls) were compared with respect to clinical and laboratorial variables. This analysis showed statistically significant associations with A. niger for: male sex (Odds Ratio = 3,28; p< 0,05); nosocomial infection, which occurred.in hospitaIs in poor state of repair (aR = 150.8; p<O,ooU; active tuberculosis (aR = 8,03; p<O,OOl); type 11 diabete mellitus (aR = 10,67; p<O,ooU; and lethal outcome (aR = 3, 1; p < o, 02). On the other hand, calcium oxalate crystals in the sputum and sistemic oxalosis occured only in A. niger group. The etiologic and diagnostic implications of these findings are discussed, with emphasis on the role of the externa 1 environernent, oxalosis, acid acurnulation and ative tuberculosis in the etiopathogenesis of A. niger.|http://hdl.handle.net/10183/1422
Estudo da bile por drenagem nasobilar na coledocolitiase apos esfincterotomia endoscopica : descricao de tecnica e analise bacteriologica|1995|Open Access|Dissertação|Bile;Coledocolitíase;Esfincterotomia|por|Esse trabalho teve como objetivo principal salientar o potencial da drenagem nasobiliar (DNB) como uma forma não cirúrgica de acesso à bile, utilizando como modelo uma téc- nica de DNB no estudo bacteriológico da bile em pesquisa. Para tal, foram estudados 17 pacientes portadores de coledo- colitíase submetidos eletivamente à colangiopancreatografia endoscópica retrógrada na Unidade de Endoscopia do Hospital de Clínicas de Porto Alegre. Foram realizadas DNB por até três dias com coletas seriadas de bile no momento do exame e a cada 24 horas, visando analisar os germes mais prevalentes e o perfil evolutivo da microbiota bacteriana. Correlacionou- se infecção biliar(IB), definida como 105 unidades formadoras de colônias (UFC)/ml de bile, com dados clínico-laboratori- ais obtidos dos prontuários (idade, sexo, presença ou não de febre, icterícia, leucocitose, elevação de fosfatase alca- lina, divertículos justapapilares, uso de antibióticos e co- lecistectomia prévia). A única intercorrência foi desconfor- to na retrofaringe em 28% dos casos. Foram tomadas medidas preventivas visando reduzir a contaminação do sistema.  As enterobacteriácias (Klebsiella e E. coli) foram os germes mais encontrados. Ocorreu crescimento bacteriano em 71% dos casos na primeira coleta, embora 30% tivessem IB. Houve al- teração da microbiota biliar em 58% dos casos da primeira para a segunda coleta e em 81% dos casos desta para a terceira. Enquanto IB foi identificada em 30% dos casos na primeira coleta, esta atingiu 50% na segunda, 90% na terceira e 100% na última coleta, embora todos os pacientes tivessem evoluído satisfatóriamente. O perfil bacteriano qualitativo também se alterou, havendo predominância de Klebsiella e E. coli na primeira coleta, acréscimo de Streptococcus faecalis na segunda e apenas Pseudomonas na última. A associação entre IB e os dados clínico-laboratoriais não foi estatisticamente significativa. Concluiu-se que as enterobacteriácias Gram - foram os germes mais prevalentes nos pacientes com coledocolitíase, sendo que o perfil bacteriológico foi significativamente alterado com a DNB, embora sem implicação no quadro clínico. Além disto, não houve associação entre os dados clínico-laboratoriais estudados e a presença de IB.;The main purpose of this study was to evaluate the potential of nasobiliary drainage (NBD) as a non-surgical procedure to gain access to the bile, using as standard the description of the NBD technique for the bacteriological of bile analysis. NBD was performed in 17 patients with choledocolithiasis, all admitted for elective endoscopic retrograde cholangiopancreatography at the Endoscopy Unit of Hospital de Clínicas de Porto Alegre . NBD was kept in place for up to 3 days. Bile sampling was performed at the time of the procedure and every 24 hours, in order to identify the most prevalent bacteria, as well as the evolutive profile of the bacterial flora. Biliary infection ( BI ), as defined by the presence of at least 105 colony forming units ( CFU ) / ml of bile, was correlated to clinical-laboratorial data obtained from patient records ( age, sex, presence or absence of fever, jaundice, leucocitosis, raise of alkaline phosphatase, justapapillary diverticula, use of antibiotics and previous cholecystectomy ). The only complication observed was pharyngeal disconfort in 28% of the cases. Prophylactic measures were used to reduce contamination. Enteric organisms ( Klebsiella and E. coli ) were the most frequently found bacteria. Bacterial growth was identified  in 71% of the cases in the first sampling, although only 30% of these had BI. The biliary flora changed in 58% of the cases from the first to the second sampling and a further 81% change was observed in third sampling. BI was found in 30% of the cases in the first sampling, while in 50, 90 and 100% in the second, third and last sampling, respectively. Notally, in spite of the latter results all patients had a favorable outcome. The qualitative bacterial profile also changed, showing the predominance of Klebsiella and E. coli in the first sampling, the appearence of Streptococcus faecalis in the second and only Pseudomonas in the last one. The correlation between BI and clinical-laboratorial data did not show statistical significance. It was concluded that the Gram - enterobacteriaceas were the most prevalent bacteria in the patients with choledocolithiasis under study.Futhermore, the bacteriological flora was significantly changed with NBD, however without clinical implications. Finally, there was no correlation between the clinical-laboratorial data studied and the presence of BI.|http://hdl.handle.net/10183/1429
Estudo dos fatores prognósticos na recorrência da primeira crise convulsiva na infância|1996|Open Access|Dissertação|Epilepsia;Convulsões;Recidiva;Criança|por|As crises convulsivas têm sua maior incidência na infância, causando grande ansiedade nos pais e constituindo uma situação freqüente em emergência pediátrica. Estima-se que aproximadamente 4% de todos os indivíduos apresentam uma convulsão durante os primeiros 15 anos de vida. Sabe-se que a recorrên¬cia de crises na infância, após um primeiro episódio, é incerta, e vários estudos têm sido realizados com o intuito de estimar o risco de recorrência de primeira crise, mas os resultados têm-se mostrado conflitantes. A decisão de iniciar o tra¬tamento após a primeira crise é controversa. Este estudo foi elaborado com a finalidade de avaliar a possibilidade de recorrência e de responder questões referentes a fatores prognósticos capa¬zes de auxiliar no manejo da primeira crise na infância. Foi objetivo geral identificar fatores preditivos para a re¬corrência de crises convulsivas na infância. Foram objetivos específicos identifi¬car a participação de fatores desencadeantes agudos e apontar fatores remotos relacionados com a recorrência de crises; estudar a incidência de crises convul¬sivas recorrentes na infância; relacionar o tipo de crise com a possibilidade de re¬corrência; e relacionar os achados eletrencefalográficos com a possibilidade de recorrência. Foram incluídas 136 crianças com idades de 1 mês a 12 anos atendi¬das no setor de Emergência Pediátrica do Hospital de Clínicas de Porto Alegre por ocasião da primeira crise convulsiva, com ou sem fator desencadeante, e acompanhadas por 24 meses, sendo vistas na primeira crise e na recorrência e / ou a intervalos de 3, 6, 12, 18 e 24 meses. Foram solicitados eletrencefalogramas após a primeira crise e na recorrência. Foram excluídas crianças que apresenta¬ram crises prévias ao estudo, em uso de anticonvulsivantes ou com quadros ca¬racterísticos de epilepsia ausência, síndrome de West e Lennox - Gastaut.As crianças foram divididas em 2 grupos : Grupo I - com crise única, 77 casos; Grupo II - com recorrência de crises, 44 casos. A média de idade foi de 29 meses e 20 dias, e nos dois grupos houve predominância de faixa etária de 1 a 48 meses. Setenta e três crianças eram do sexo masculino e 48 do sexo femi¬nino, sendo 70 brancas e 51 não-brancas. Quanto ao aspecto sócio-econômico, nos dois grupos houve nítido predomínio de baixa escolaridade dos pais. O estudo teve 11% de perdas. Foi possível concluir que história familiar de crise convulsiva, exis¬tência de fatores desencadeantes na primeira convulsão, tipo de crise, dura¬ção da crise e alterações paroxísticas no eletrencefalograma foram fatores prediti¬vos para a recorrência de crise convulsiva. Os fatores desencadean¬tes agudos, hipertermia e infecção, foram protetores quanto ao risco de recorrên¬cia. Os fatores desencadeantes remotos não tiveram influência na recorrência de crises. A incidência de crises convulsivas recorrentes foi de 36,36% no tempo em que durou o estudo. Quando a primeira crise foi parcial, aumentou em 6 vezes o risco de recorrência. Quando paroxismos focais foram observados no primeiro eletrencefalograma, o risco de recorrência foi 3 vezes maior. Nesta amostra os riscos acumulados para recorrência foram 14,88%, 23,14%, 28,93%, 33,06% e 35,54% para 3, 6, 9, 12 e 15 meses, respectivamente. Embora não es¬tatisticamente significativa, houve forte tendência para recorrência com os seguintes fatores: história familiar positiva de doença neuropsiquiátrica, baixa escolaridade dos pais, baixos índices de Apgar e alterações ao exame físico inicial.|http://hdl.handle.net/10183/1464
