Título|Ano de Publicação|Tipo de Acesso|Tipo de Documento|Assuntos|Idioma|Descrição|Link de Acesso
O pensamento educacional brasileiro e o fracasso escolar : o que dizem os artigos do Cadernos de Pesquisa|1990|Open Access|Dissertação|Fracasso escolar;Filosofia da educação;Brasil|por|Estudo descritivo sobre o pensamento educacional brasileiro e o fracasso escolar examinado por meio da análise de conteúdos a partir de 110 artigos publicados no periodo corrente em educação Cadernos de Pesquisa editado pela Fundação Carlos Chagas. Abrange o perlodo de 1971 a 1989. Elucida questões relacionadas ao tratamento dado ao fracasso escolar, em termos de causas e soluções identificadas pelos teóricos da educação e por outros estudiosos procurando esse pensamento em função das condições em que e compreender produzido desde a sua localização na Universidade até a epistemologia que o subjaz e a corrente da sociologia do conhecimento que a inspira. Aponta a recorrência a Jean Piaget. Conclui que o pensamento educacional sobre o fracasso escolar apresenta-se em movimento de crescente expansão qualitativa e quantitativa e variado embora recorrente em alguns temas além de ser fortemente relacionado às condições econômicas e politicas que e produzido. Estes e outros fatores lhe impõem como em caracteristica mais remotas a concepção positivista de ciências sociais e como caracterlstica mais recente, a busca da especificidade da educação simultaneamente ao estudo das relações mantidas com a sociedade fazendo oscilar sua ênfase sobre um ou outro procedimento. Revela a crescente referência a Piaget assinalando sua ubiqüidade desenraizada nos primeiros artigos e a profundidade da discussão atual onde é utilizado diversificadamente. Sugere a realização de outros estudos com ênfase nos demais periódicos correntes em educação especialmente os de maior consulta nas faculdades de Pedagogia e o aprofundamento do estudo do pensamento educacional através de contato mais estreito com os seus sujeitos, ou seja, os autores de artigos e pesquisadores em educação.|http://hdl.handle.net/10183/1327
A prática da educação física : problemas e alternativas transformadoras na ação educativa e social|1988|Open Access|Dissertação|Educação;Treinamento;Função social|por|O presente trabalho teve por objetivo traçar um quadro das dificuldades enfrentadas pelos professores que lidam com a Educação Física nas escolas de 1º, 2º e 3º graus de Porto Alegre e apresentar alternativas práticas para a superação destas dificuldades. Fizeram parte do estudo professores de Educação Física de 74 escolas estaduais, particulares e municipais de 1º e 2º graus e, professores de 6 estabelecimentos particulares e federais de ensino superior de Porto Alegre, num total de 275 indivíduos. A coleta de dados realizou-se através de questionário aberto, escala de opinião tipo Likert, observação de aulas e análise de documentos legais. Para a interpretação estatística utilizou-se os testes t análise de variância e teste U de Mann-Whitney. Para as informações de natureza qualitativa utilizou-se a técnica da Análise de Conteúdo. Os resultados obtidos indicaram que em relação à formação profissional recebida no curso de Educação Física atender às exigências da realidade de trabalho, não houve diferença significativa entre os professores das escolas particulares e públicas de 1º e 2º grau.  Os professores, de forma geral, consideraram a área biológica como a mais adequada, seguida das áreas técnico-profissional e didático-pedagógica. A área humanística foi considerada a menos adequada. Em relação aos aspectos estruturais houve diferença significativa entre as respostas dos professores das escolas particulares e públicas de 1º e 2º graus. Os professores das escolas particulares consideram suas condições mais adequadas que os professores das escolas públicas. No ensino superior a situação se inverteu, os professores das escolas públicas consideraram suas condições melhores do que os das escolas particulares. Em relação ao local de trabalho constatou-se diferença significativa entre as escolas públicas e particulares de 1º e 2º grau. Os professores das escolas particulares consideram as condições de seu local de trabalho mais adequadas. Quanto aos aspectos didáticos-pedagógicos, tanto os professores das escolas públicas como das particulares de 1º e 2º graus consideraram que seus alunos mostram-se comprometidos com as aulas de Educação Física. Esses resultados formaram um quadro bastante coerente quando confrontados com a política econômica adotada pelo governo nas últimas décadas que repercutiu na educação sobre a forma de privatização e de utilização do ensino superior como instrumento de formação de mão-de-obra para o desenvolvimento do país nos moldes capitalistas.  Como alternativas para a superação dessas dificuldades recomendamos: - a nível de formação profissional: o acréscimo de disciplinas da área humanística que permitam a aquisição de conhecimentos mais aprofundados sobre as questões políticas e sociais do professor de Educação Física; - a nível de local de trabalho: a integração dos conteúdos das aulas de Educação Física aos conteúdos das outras disciplinas curriculares principalmente nas primeiras séries do 1º grau; - em relação aos aspectos didático-pedagógicos: fornecer conhecimentos teóricos sobre a Educação Física que permitam aos alunos desenvolver atividades físicas e desportivas, mesmo fora da escola, de forma consciente e independente, com condições de identificar seus benefícios e malefícios sem auxílio do professor; - a nível estrutural recomendamos a militância em espaços que permitam uma interferência mais direta nas questões políticas e econômicas do país, tais como: associações, sindicatos e partidos políticos.;The objective of the present research was to outline the difficulties faced by teachers who deal with Physical Education in 1st, 2nd and 3rd schools of Porto Alegre, and find practical alternatives to overcome these difficulties. This study comprehends Physical Education teachers from 74 1st and 2nd grade state, private and municipal schools as well as teachers from 6 private and federal higher education institutions of Porto Alegre, who all sum up 275 individuals. The data have been assessed through open questionnaire, Likert´s scale of opinion, class observation and analysis of legal documents. The instruments used for the statistical interpretation were t test, variance analysis and Mann-Whitney´s U test. The technique of content analysis has been used for the information of qualitative nature. The results achieved showed that in terms of the professional formation in Physical Education meeting the needs or working reality, there was no significant difference between 1st and 2nd grade private and public school teachers. In general, teachers find the biological area more appropriate, followed by the technical-professional and didatic-pedagogic areas.  The humanistic area was considered the least appropriate. As far as structural aspects are concerned, there was significant difference between the answers of 1st and 2nd grade private and public school teachers. Private school teachers find their conditions more appropriate than the situation was just the opposite: public school teachers find themselves in better conditions than the ones from private schools. As far as the place of work is concerned, there was significant difference between 1st and 2nd grade public and private schools. Private school teachers think the conditions of their place of work are more appropriate. In terms of didatic-pedagogic aspects, either the 1st and 2nd grade public or private school teachers reported their students to look committed to Physical Education classes. These results outlined a very coherent situation as opposed to the economic policy adopted by the government in the last decades, which reflected in privatization and in the use of higher education as a means of making up labor force to develop the country in a capitalist way. Therefore, we recommend the following alternatives to overcome these difficulties: - in terms of professional fomation: increase the number of humanistic disciplins which may provide deeper knowledge acquisition about the political and social duties of a Physical Education teacher;  - in terms of place of work: integration of the contents of a Physical Education class with the contents of other curricular disciplins, mainly in the first years of Elementary Schools; - as far as didatic-pedagogic aspects are concerned: provide theoretical knowledge about Physical Education so as students can develop physical and sportive activities, even away from school, in a conscious, independent way, being able to identify their benefits and harms with no help of the teacher; - in terms of structural aspects: it is necessary to operate in areas where people can fight for a more direct interference in political and economic matters of the country, such as unions and political parties.|http://hdl.handle.net/10183/1366
""Semu genti"" : da SADI à SECOP : relação trabalho-educação-formação humana com egressos de cursos profissionalizantes na Ilha Grande dos Marinheiros|2001|Open Access|Dissertação|Sociedade dos Amigos da Ilha.;Sociedade de Estudos Comunitários e Organização Participativa.;Educação;Trabalho;Formação profissional;Ensino profissionalizante;Aluno egresso;Identidade sócio-cultural;Formação;Representação;Inclusão social;Sociologia da educação;Representação social;Porto Alegre (RS)|por|Esta pesquisa tem como objetivo identificar as especificidades educativas da Formação Humana no interior da relação trabalho-educação, a natureza pedagógica das representações sócio-culturais produzidas pelos egressos da SECOP, analisar a relação trabalho-educação enquanto processo de formação humana constituinte de identidades sócio-culturais e as transformações ocorridas nas relações sociais a partir das trajetórias de vida dos egressos dos Cursos Profissionalizantes, da SECOP. A relação trabalho-educação se constitui no eixo de formação das identidades sócio-culturais dos egressos do Núcleo SADI e da SECOP – instâncias de formação profissionalizante – na Ilha Grande dos Marinheiros. Partindo deste pressuposto vou buscar a gênese dos conceitos de exclusão, cidadania, escola, trabalho e formação para o trabalho e a maneira como estes são representados pelos sujeitos no âmbito da pesquisa tendo como base as histórias vivenciadas no período - 1992-1997 -, em que atuei como educadora na Ilha. Estas histórias mapearam o contorno da pesquisa e subsidiaram a operacionalização da coleta de dados a partir da confecção das histórias de vida - metodologia da minha investigação - dos sujeitos pesquisados  As referências teóricas fundamentam-se no pensamento de Paulo Freire, Miguel Arroyo, Teilhard de Chardin, Leonardo Boff, Gaudêncio Frigotto, Henry Lefebvre, bem como em elementos da antropologia de Georges Balandier. As análises feitas dão conta do valor dos cursos como agregação de sentido de vida aos sujeitos da pesquisa e não somente ao campo profissional. Mostram, também, uma crise de escolha, em que se colocam os jovens das classes populares, entre o sobreviver e o estudar, anunciando, assim, uma dicotomia entre cabeça e mãos. Há uma pergunta de fundo, acompanhando o desenvolvimento dos cursos profissionalizantes: Porque a escola não faz o que se faz aqui, na SECOP ?|http://hdl.handle.net/10183/1393
Distúrbios no desenvolvimento : cognição ou afeto?|1991|Open Access|Dissertação|Processos mentais;Psicologia;Afetividade;Abordagem piagetiana;Desenvolvimento cognitivo;Psicanálise;LOGO;Ambiente de aprendizagem|por|Por que não aprendem certas crianças? Este é um estudo exploratório, no qual buscam-se respostas a esta interrogação. O problema de aprendizagem é baseado no domínio da Psicologia do Desenvolvimento. Para abordá-lo, demonstra-se o interesse na utilização do referencial piagetiano, o ambiente informático e a linguagem LOGO de programação. Desse referencial ""cognitivo"", surge outra dimensão, a da ""afetividade"". Do histórico da interrelação entre ambos na teoria piagetiana, surge a psicanálise como disciplina que poderia contribuir. Fundamenta-se a utilização desta útlima em pesquisa, relacionando, ainda, hipóteses que a psicanálise possui sobre o desenvolvimento e seus distúrbios. Escolhemos o estudo de caso como delineamento metodológico desta investigação. Nos resultados, destacam-se situações em que interfiriam elementos ""afetivos"" a ele vinculados. Verificou-se que o computador oferece possibilidades e recursos específicos para essa expressão, que, combinados com a necessidade do raciocínio para sua utilização, permitiram aos sujeitos a superação das situações que intreferiam no seu desenvolvimento. Conclui-se pelo interesse no prosseguimento da investigação, no ambiente informatizado, desta zona de fronteira entre a ""cognição"" e o ""afeto"".|http://hdl.handle.net/10183/1397
Diferenças de gênero no julgamento moral|1990|Open Access|Dissertação|Julgamento moral : Psicologia;Papel sexual : Kohlberg;Julgamento moral : Homem : Psicologia;Julgamento moral : Mulher : Psicologia;Papel sexual : Julgamento moral;Julgamento moral : Abordagem cognitiva|por|Este estudo discute as diferenças entre homens e mulheres com relação ao julgamento moral. Estas diferenças são abordadas também quanto ao gênero dos indivíduos. Gênero é o conjunto de atribuições psicológicas dado ao sujeito a partir do seu sexo biológico. Os indivíduos de ambos os sexos podem ser categorizados de acordo com seu gênero como indiferenciados, tipificados sexualmente (masculino, feminino) e andróginos. Os estudos sobre a moralidade têm sido realizados enfatizando as diferenças entre os indivíduos de cada sexo biológico. Este aspecto mereceu atenção especial devido a fortes críticas ao sexismo da teoria e metodologia kohlbergiana, por ter sido postulada por um homem e considerar as questões morais sob um ponto de vista masculino, apresentando resultados colhidos com sujeitos do sexo masculino obtidos através de um instrumento com dilemas morais protagonizados principalmente por homens. Visando controlar estes problemas metodológicos, este estudo propõe a utilização de protagonistas de ambos os sexos nos dilemas morais e a obtenção de dados de sujeitos de ambos os sexos. Foram testados 300 estudantes universitários com idade entre 18 e 25 anos. Destes foram escolhidos 180 sujeitos categorizados como andrógenos (60), indiferenciados,(60) e tipificados sexualmente (60), metade de cada sexo.  Os instrumentos utilizados foram: o ""BSRI"" (Bem Sexual Role Inventory), produzido por Bem (1974, 1977) e traduzido e adaptado para o Brasil em 1982 por Oliveira, e o ""MJI"" (Moral Judgement Interview) de Kohlberg, em duas formas: (a) com o sexo do protagonista masculino e (b) com o sexo do protagonista feminino. Uma ANOVA revelou que: (1) existem diferenças de gênero no julgamento moral; (2) andróginos apresentam maiores níveis de julgamento moral do que os indiferenciados; (3) o sexo do protagonista não afeta as respostas de sujeitos de gêneros e sexos diferentes; (4) não há diferenças de sexo no nível de julgamento moral. A discussão dos resultados é feita à luz da abordagem cognitiva do desenvolvimento moral e sexual e enfatiza a proposição da variável gênero nos estudos sobre a moralidade.|http://hdl.handle.net/10183/1398
De bar em bar : identidade masculina e auto-segregação entre homens de classes populares|1991|Open Access|Dissertação|Antropologia social;Classes populares;Identidade de gênero;Mulher : Vida social e costumes|por|Este trabalho é resultado de uma pesquisa etnográfica a respeito da construção social de identidade masculina em classes populares. O universo escolhido são os bares localizados no bairro Cidade Baixa em Porto Alegre, os quais são denominados como butecos, locais onde a freqüência é predominantemente masculina. Em um bairro ocupado por diferentes grupos sociais, estes homens encontram-se auto-segregados. São locais onde investem grande parte de seu tempo lúdico, nos intervalos do trabalho ou antes do retorno ao espaço doméstico. A partir de suas diferentes falas, busco compreender os dilemas e atitudes constituidores de sua identidade de gênero.|http://hdl.handle.net/10183/1404
Navegantes da esperança : análise de um ritual religioso-urbano em Porto Alegre|1992|Open Access|Dissertação|Antropologia social;Festa dos Navegantes : Porto Alegre Rio Grande do Sul Brasil;Cultura popular : Porto Alegre Rio Grande do Sul Brasil;Tese|por|A Festa dos Navegantes, em Porto Alegre, foi estudada, a partir da noção de ritual desenvolvida pela Antropologia. Para tanto, foi feita a observação sistemática e participanta acompanhada da análise das diversas etapas do ciclo ritual, que tem início na segunda semana de janeiro e término no dia 2 de fevereiro. A transformação da festa de uma manifestação de camadas elevadas e localizada em uma manifestação popular e regionalizada e, ainda, a utilização de símbolos da cultura dominante por grupos dominados como forma desses últimos se aproximarem das camadas superiores foram alguns dos elementos evidenciados ao longo da etnografia.|http://hdl.handle.net/10183/1410
Conceitualização da leitura e escrita por adultos não-alfabetizados|1990|Open Access|Dissertação|Alfabetização de adultos;Construtivismo|por|Esta é uma pesquisa piagetiana clássica que se insere na trilha aberta por Emilia Ferreiro na área da psicogênese da alfabetização. A questão central investigada é a de saber qual o conhecimento que os adultos não-alfabetizados possuem do sistema de escrita. Foram entrevistados 35 sujeitos utilizando o método piagetiano de interrogatório clinico. O material empregado estava composto por cupom fiscal de supermercado, bilhete de loteria, calendário, conta de luz, receita médica, nota fiscal padrão, fotos do meio urbano, recortes de revistas, desenhos com legendas, impressos padronizados de anúncios (do tipo “vende-se”, “aluga-se”, “É proibido fumar”, etc...), entre outros. Solicitava-se o reconhecimento de letras e números, classificação de textos “legíveis”, analise ao nível da palavra e da oração, interpretação de textos acompanhados ou não de imagem, realização de cálculos mentais e produção de escrita. Verificou-se que, embora não haja ainda uma compreensão global do funcionamento do sistema alfabético de escrita, os adultos não-alfabetizados apresentam conceitos que correspondem a níveis progressivos de desenvolvimento cognitivo. Esses níveis vão desde aquele que ainda não estabeleceu um vínculo entre a escrita e a pauta sonora da emissão verbal, passando por aquele que atribui uma letra para cada macro-partição da emissão verbal (silaba), até o mais aprimorado que detecta então os elementos mínimos da emissão (fonemas) e trata de fazer a correspondência entre letras e fonemas. Este último nível desvenda o modo pelo qual que correspondem a níveis progressivos de desenvolvimento cognitivo. Esses níveis vão desde aquele que ainda não estabeleceu um vínculo entre a escrita e a pauta sonora da pesquisas com crianças pré-alfabetizadas verifica-se que nas há uma identidade estrutural entre crianças e adultos na forma de se apropriar do conhecimento do modo de funcionamento da língua escrita. Os adultos não apresentam as noções mais primitivas manifestadas pelas crianças pois possuem uma boa distinção entre letras e números, Conquistaram a possibilidade de realizar cálculos mentais, compreendem melhor a importância das segmentações do texto, não agridam nomes semanticamente relacionados para interpretar ""sobras de texto"" na análise de orações, etc. A pesquisa contribui para um melhor entendimento do processo de aprendizagem da leitura e escrita e pode ser utilizada para uma analise crítica dos métodos pedagógicos tradicionais de alfabetização de adultos.|http://hdl.handle.net/10183/1428
A relação paciente-terapeuta e os resultados em psicoterapia breve|1984|Open Access|Dissertação|Psicoterapia breve;Relações médico-paciente|por|Foram estudados 24 pacientes que realizaram Psicoterapia Breve Dinâmica, no ano de 1980, no ambulatório do Centro Psiquiátrico Melanie Klein, com os alunos do 2º ano do Curso de Especialização em Psiquiatria. Procurou-se observar: a) quais foram os resultados obtidos por estes pacientes em psicoterapia; b) qual foi a qualidade da relação paciente-terapeuta; c) se houve ou não uma correlção entre os resultados e a qualidade da relação terapêutica; d) e em que grau contribuíram pacientes e terapeutas para as dificuldades encontradas. Verificou-se que, aproximadamente, 1/3 dos pacientes (29,2%), obtiveram resultados ""importantes ou substanciais"", com a terapia; 1/3 (33,3%), resultados ""parciais"", e os demais (37,5%), resultados ""mínimos ou nulos"". A relação paciente-terapeuta foi considerada ""boa, em parte"" em 25,0% e com ""dificuldades importantes"" em 47,1% da amostra. Foi encontrada uma correlação direta e altamente significativa entre os resultados obtidos e as seguintes variáveis: a) qualidade da relação paciente-terapeuta; b) idade dos pacientes; c) e número de sessões realizadas. Observou-se, ainda, que os pacientes tiveram uma evolução significativamente mais favorável e com menos problemas, quando os terapeutas eram do sexo oposto. E, inversamente, as dificuldades foram maiores e o aproveitamento menor quando eram ambos do mesmo sexo. Em 16,7% dos casos, as dificuldades encontradas na relação paciente-terapeuta ocorreram por problemas dos pacientes. Mas em 41,7% dos casos, foram encontradas evidências de que ocorreram dificuldades na relação, também por parte dos terapeutas.;Twenty-four patients who did short-term dynamic psychotherapy in 1980 as out-patients at the Psychiatric Center Melanie Klein were studied by the 2nd year students of the specialization course in psychiatry. The aims of this observation were: a) to evaluate the results obtained by these patients in psychotherapy; b) the quality of the patient-therapist relation; c) if there was a correlation between the results and the quality of therapeutic relationship; d) and up to which extent patients and therapists contributed to the appearing difficulties. It was found that approximately 1/3 of the patients (29,2%) showed important or substantial results after therapy, 1/3 (33,3%) showed partial results and the rest (37,5%) obtained minimum or no results at all. The relationship between patient and therapist was considered ""very good"" in 33,3% of the cases; ""good"" in 25,0% and 41,7% stated important difficulties in this sampling. Between the obtained results and the following variables a direct and highly significative correlation was found: a) quality of the patient-therapist relation; b) the patient's age; c) the number of the sessions. It was also observed that the patients had a far better evolution and presented fewer problems when the therapists were of opposite sex. And on the contrary, the difficulties grew and the results were less favourable, when both were of the same sex. In 16,7% of the cases the difficulties which appeared in the patient-therapist relationship were based on problems of the patients. But in 41,7% of the cases it became evident that difficulties in the therapeutic relationship occurred also because of the therapists.|http://hdl.handle.net/10183/1430
Abuso sexual em meninos|1996|Open Access|Dissertação|Abuso sexual;Criança|por|O impacto da experiência de abuso sexual foi estudado em seis meninos, com idades entre 7 e 13 anos, atendidos em um programa de extensão da UFRGS para prevenção e tratamento de abuso físico e sexual, desenvolvido num Conselho Tutelar e numa Escola Municipal de Primeiro Grau. Para cada caso, entrevistou-se, a partir de um roteiro tópico flexível, um ou mais familiares, o professor ou orientador educacional da Escola que o menino freqüentava e os conselheiros tutelares e monitores envolvidos diretamente no caso. Quanto aos meninos vitimados, o roteiro de entrevista utilizado fazia parte do processo de avaliação clínica que precedia o tratamento psicológico. Utilizou-se da comunicologia - conjunção entre fenomenologia existencial e a semiótica - como argumento metodológico no delineamento qualitativo dos procedimentos de análise e como argumento teórico na interpretação dos resultados. A experiência da vitimação foi estudada através da descrição, redução e interpretação dos contextos de abuso, revelação e reações. A interpretação dos resultados indicou que, inicialmente, os meninos expressam prejuízos vivenciais e relacionais, experienciam o dilema entre revelar e não revelar e, posteriormente, apresentam possibilidades de reações como confusão quanto à orientação sexual, comportamento sexualizado , revitimação e comportamento abusivo. Sugestões terapêuticas são apresentadas utilizando-se como referência do processo comunicativo.|http://hdl.handle.net/10183/1432
