Título|Ano de Publicação|Tipo de Acesso|Tipo de Documento|Assuntos|Idioma|Descrição|Link de Acesso
Modelagem do valor percebido associado à prestação de serviços|2000|Open Access|Dissertação|Prestação de serviços;Custo;Satisfação do consumidor|por|As expectativas dos clientes são complexas e difíceis de serem alcançadas. Este trabalho apresenta uma abordagem desenvolvida para a avaliação dessas expectativas. A abordagem proposta utiliza grupos focalizados e contempla duas etapas: (i) levantamento das variáveis valorizadas pelo cliente, e (ii) quantificação do valor atribuído pelo cliente às diversas variáveis, conforme o nível de prestação de serviço oferecido. A abordagem proposta foi testada através de um estudo de caso realizado junto a uma empresa de manutenção de computadores. Além do levantamento do valor percebido pelo cliente, também foi feita a avaliação dos custos associados aos diferentes níveis de prestação do serviço. Isso possibilitou uma comparação direta entre esses dois elementos: valor percebido e custo da prestação do serviço. Após a comparação, foi possível identificar as alternativas de prestação de serviço que apresentam maior rentabilidade. Ao mesmo tempo, foram identificadas as etapas que necessitam um trabalho de redução de custo, uma vez que o custo dos serviços ultrapassa o valor percebido pelo cliente. A abordagem proposta permite a modelagem de algumas das principais preocupações das empresas de serviço: satisfação do cliente, valor percebido, custos dos serviços e rentabilidade.|http://hdl.handle.net/10183/1325
Um estudo de percolação em barragens de terra, em regimes permanente e transiente, com a aplicação do método de elementos finitos|1988|Open Access|Dissertação|Barragens de terra;Percolação;Elementos finitos|por|Este trabalho apresenta um estudo de fluxo de água em barragens de terra, em regimes permanente e transiente, com a utilização do Método de Elementos Finitos. No estudo de fluxo em regime permanente duas formas de abordar o problema são apresentadas e comparadas. A primeira considera, para a discretização da malha de elementos finitos, somente a região saturada, de maneira que a linha freática é obtida através de ajustes desta malha de elementos finitos. A segunda considera toda a região saturada-insaturada, sendo discretizado todo o domínio físico da barragem. A malha de elementos finitos não é modificada ao longo das iterações e a linha freática é obtida por interpolação dentro dos elementos, em função dos valores nodais do potencial de pressões. O desenvolvimento teórico das equações utilizadas para as duas formas de abardagem é apresentado, mostrando onde elas diferem entre si. No estudo de fluxo em regime transiente é utilizado apenas o esquema de malha fixa de elementos finitos.;This work presents a steady-state and transient fluid flow study in earth dams using the Finite Element Method. In the steady-state fluid flow study, two approaches are presented and compared. Ths first one considers a finite element mesh discratization of only the saturated zone, so that the free surface is obtained by means of adjusting the finite element mesh. The second one considers all the saturated-unsaturated zone, where all the earth dam phisical domain is discretized. The finite element mesh is not modified throughout the iterations and the free surface is obtained by interpolation inside the finite element mesh, based on the pressure head nodal values. The development of the equations used in the two approaches is presented, showing where they differ. In the transient fluid flow study, only the fixed mesh finite element scheme is used.|http://hdl.handle.net/10183/1330
Diagramas momento-curvatura para elementos estruturais de concreto armado submetidos a carregamento monotonico ou cíclico|1988|Open Access|Dissertação|Estruturas de concreto armado : Deformação|por|Este trabalho tem por objetivo desenvolver e implementar, computacionalmente, procedimentos numéricos eficientes, aplicados à determinacão do diagrama momento-curvatura, correspondentes à: -uma seção tipica, em vigas de concreto armado, submetida à carga monotônica ou cíclica de curta duração; - um ponto genérico da superficie média em placas de concreto armado, submetidas à carga monotônica de curta duração. Ainda à luz dos resultados obtidos, visa também propôr um modelo simplificado em termos de resultantes de tensões e deformações generalizadas. Inicialmente, é descrito um modelo laminar para vigas, no qual a carga é aplicada de forma incremental sendo que para cada etapa, as equaçães de equilibrio não-lineares são resolvidas de maneira iterativa. Como consequência é proposta uma relação momento-curvatura em termos de resultantes. A fim de verificar a validade e aplicabilidade dos métodos e dos algorítmos estudados e comparar-se os resultados com dados experimentais e respostas obtidas por outros pesquisadores, é apresentada uma série de exemplos numéricos. A continuação, é aplicado o procedimento anterior para modelos de laje, livres de solicitações de membrana. Finalmente através de um estudo paramétrico dos diversos fatores que afetam o diagrama momento-curvatura, propõe-se uma relação simplificada.;The objective of the present study is to develop an efficient numerical procedure for obtaining the moment-curvature relationship, corresgondents: - a typical section, in reinforced concrete beams, under cyclic or monotonically short term loading; - a generic point on the average of reinforced concrete plates under monotonik, short duration loading. On the basis of the results indicated above, a simplified model is proposed, in terms of: generalized stresses and deformations. At first, a laminar model applicable to beams is described. The loads are incrementaly applied and at each slage the nonlinear equilibrium equations are solved iterative manner. In consequence it is proposed moment-curvature relationship in term of resultants. Several numerical examples are presented in order to verify the validity and applicability of the developed models. The results obtained are compared to experimental and analytical data obtained by others investigators. Next, the procedure previously described is applied to slabs free of membrane stresses. Finally through a parametric studu of the different factors that affect a moment-curvature relationshhip, a simplified diagram is progosed.|http://hdl.handle.net/10183/1331
Técnica de programação e controle da construção repetitiva, linha de balanço, estudo de caso de um conjunto habitacional|1987|Open Access|Dissertação|Construção civil : Planejamento|por|Este trabalho apresenta uma técnica de programação e controle da construção repetitiva denominada Linha de Balanço. E uma técnica, surgida na indústria fabril, onde a produção em série e em grande escala exige a organização dos métodos de produção e a racionalização do trabalho. O estudo, inicialmente, modela o trabalho de construção de unidades repetitivas, salientando os problemas de organização e administração destes empreendimentos. Num segundo momento, são apresentados os princípios teóricos da técnica com aplicações práticas da programação. Por fim, é analisada a metodologia usual de construção de conjuntos habitacionais através de um estudo de caso e, observadas as condições de aplicação da técnica da Linha de Balanço, não exigindo mudificações muito profundas na atual ação gerencial neste tipo de obra. As conclusões esboçadas confirmam as vantagens da técnica da Linha de Balanço para estes empreendimentos e propõem a sua utilização na organização do trabalho nos canteiros repetitivos.;This research work is dedicated to the presentation of a building construction programming and control technique called Line of Balance, specially suited to repetitive sites, as the ones that might be found on low-income housing. This technique is not yet known or documented in the portuguese speaking literature as to make it accessible to practioners and public authorities. This technique was originated in the manufacturing industry. The thesis discusses the rationalisation and organisation procedures needed on housing sites in order to make the application of this novel technique a succesful exercise. The thesis begins by putting forward evidence on housing demand and on houw the building industry organizes itself to produce houses in massive quantities. Available programming and control techniques such as bar charts, PERT/CPM and simulation are discussed in the light of their suitability to repetitive construction. The line of balance technique is throughly presented and discussed on its theoretical practical aspects in chapter 3 that constitutes the core of the thesis.  At the end a case study where the line of balance programme of work might have been applied is discussed. The actual low-income housing site of some 800 dwellings was built using conventional bar chart, programmes of work; notwithstandingly, data gathered on the sequence of work throughout the site on the duration and precedence of activities, an the intensity and rythm of work from unit to unit leads one to conclude that line of balance would not conflict seriously with the way this site was tackled, at least for the underground and carcassing activities. In other words, this novel technique might be used without calling for deep modifications of the management procedures now in use on building sites of repetitive nature. The thesis concludes by pointing the advantages and disadvantages of the new programming and controlling technique as a background for further studies on its applicability on housing construction sites, since the case study demonstrated its feasibility as far as it does not go against the managerial concepts and uses of the existing programming and administrative procedures employed in this sort of sites.|http://hdl.handle.net/10183/1332
Análise de treliças planas viscoelásticas com deformações finitas e pórticos planos viscoelásticos com vigas mistas|1988|Open Access|Dissertação|Estruturas reticuladas;Deformação;Elasticidade;Vigas mistas|por|Este trabalho compõe-se de duas partes. A primeira parte propõe-se a apresentar um estudo e um programa computacional para a análise não linear geométrica de treliças planas com propriedades: viscoelásticas. Na segunda parte, tem-se o estudo e um programa sobre pórticos planos com propriedades viscoelásticas, usando o modelo reológico standard e o dado pelo CEB. Leva-se em consideração o efeito de temperatura e retração nesta análise. Estende-se o trabalho sobre pórtico para o estudo sobre vigas mistas, levando em consideração a mudança da linha neutra. A formulação está baseada no método dos elementos finitos para grandes deformações, particularizada para treliça e pórtico. É feita a descrição de ambos os programas e rodados diversos exemplos.;This dissertation tackles two problems in the field of viscoelastic analysis of structures. Firstly, we consider the nonlinear geometric analyis of viscoelastic plane trusses by numerical methods. In the second part, plane frames are studied, considerig the viscolelastic behaviour of concrete represented by general reological models and also by the CEB equations; temperature, shrinkage and support movements effect are considered. The computational program also analise composite continuous beams. The formulation is based on a expression of the virtual work theorem valid for finite deformations, and uses the finite element technique. The computation codes are described and several examples are analised|http://hdl.handle.net/10183/1333
Regionalização das velocidades extremas e temperaturas dos ventos no centro-sul do Brasil.|1989|Open Access|Dissertação|Vento;Estruturas (Engenharia);Estatística matemática;Geologia física|por|Séries de dados de velocidades máximas anuais do vento, classificadas segundo o tipo de tormenta (ventos EPS ou TS) e a direção (octantes), são utilizadas para o ajuste de um modelo baseado em regressão linear múltipla, permitindo a estimativa dos ventos extremos no interior da região definida pelas estações meteorológicas disponíveis. A correlação entre as velocidades do vento e a temperatura do ar durante tormentas também é investigada, bem como o comportamento estatístico das temperaturas durante ventos fortes.;Maximum annual wind velocities series, classified according to storm type (EPS or TS winds) and direction (octants), are used to fit a model based in multiple linear regression, which provides the estimation of extreme winds inside the region defined by the availible meteorological stations. The correlation between wind velocity and air temperature during storms is also investigated, as well as the statistical behaviour of air temperature during strong winds.|http://hdl.handle.net/10183/1334
Terapia das construções de concreto : metodologia de avaliação de sistemas epoxi destinadas a injeção de fissuras passivas das estruturas de concreto|1989|Open Access|Dissertação|Resina epóxi;Concreto;Fissuras (Engenharia);Manifestações patológicas|por|A perda do desempenho de uma edificação está associada ao aparecimento de patologias. A escolha de uma adequada terapia para os problemas encantrados, depende de um diagnóstico preciso do caso. A fissuração do concreto é alvo deste trabalho, por ser ela uma das manifestacoes patológicas mais incidentes nas edificacões, tanto a nível nacional como mundial. Nesse trabaho os diversos tipos de fissuras verificadas no concreto são agrupadas em ativas e passivas. Apresenta-se,H ainda, os materiais e técnicas de recuperacão para corrigir as fissuras dos dois grupos. Entre as soluções mais adotadas para recuperar as problemas patológicos, as que utilizam sistemas de base epóxi possuem destaque. O trabalho faz uma discussão sobre os fatores que influenciam o desempenho de sistemas epóxi destinados à injeção de fiissuras passivas do concreto e apresenta ensaios que podem ser realizados para garantir o sucesso da técnica. Ao final, apresenta um exemplo de avaliação de sistemas epóxi, encontradas no mercado nacional, destinados à injecão de fissuras e uma análise dos resultados obtidos.;The low of the performance in a building is associate with the failure appearing. The selection of a proper therapy for the problems diccovered, depends on an accurate diagnosys of the case. The purpose of this study is the concrete cracking, for it is one the most incident failures in buildings, as much in Brasil as abroad. ln this study, the several types of cracks observed in the concrete are grouped in active and passive. It is also presented materials and techniques for correcting the cracks of both groups. Among the most adopted solutions for repair failures, these which use epoxy resins, are remarcable. This study presents a discussion on the facturs that affect the performance of epoxy resins destined to the injection of concrete passive cracks, as well as tests that may be carried out to guarantee the technique success. At last, it prrsents an example of evaluation of epoxy resins found in the domestic market destined to injection of cracks and an analyses of the obtained results.|http://hdl.handle.net/10183/1335
Estudo da associação de elementos traços com a fração orgânica e inorgânica do carvão do Leão|1977|Open Access|Dissertação|Carvão;Tecnologia química;Mineralogia|por|O presente trabalho refere-se à determinação dos elementos cobre, chumbo, zinco, cobalto, níquel, cromo, vanádio e manganês no carvão da Mina do Leão, com o objetivo de verificar a distribuição e ocorrência dos mesmos, com ênfase ao estudo da associação com as frações orgânica e inorgânica do carvão. O estudo da associação revelou que o cobre, cobalto, níquel, cromo e vanádio, estão associados à fração orgânica do carvão. O chumbo e o zinco, estão predominantemente associados a fração orgânica, contudo, para altos teores de cinzas, verifica-se também associação com a fração inorgânica. O manganês, está dominantemente associado à fração inorgânica.;The present work describes the determinations of the following elements in coals from the Leão Mine: copper, lea , zinc, cobalt, nickel, chromium, vanadinm and manganese. The main objective is to determine the distribution of these elements in particular, their association with the organic and inorganic fractions of the coal. The association study showed that copper, cobalt, nickel, chromium and vanadium are associated with the organic fraction of the coal, magnese is associated inorganic fraction. Lead and zinc are predominantly associated with the organic fraction, however for high ash contents it has been verified that these elements are also associated with the inorganic fraction.|http://hdl.handle.net/10183/1336
Estudo do efeito inibidor do solicato de sódio na corrosão de uma liga de ali-mg-si, em meio de diferentes concentrações de cloreto|1979|Open Access|Dissertação|Alumínio;Corrosão;Ligas de alumínio|por|No presente trabalho, estudou-se o efeito inibidor do silicato de sódio na corrosão de uma liga de AI-Mg-Si em meio arejado e desarejado, contendo quantidades variadas de Ion cloreto no pW = 10,O . Nos diferentes tipos de ensaios realizados, tais como, traçado de curvas de polarização, ensaios galvanostáticos e com par galvânico, utilizou-se corpos de prova anodizados ou polidos. Os resultados experimentais mostraram que 1 g/l de silicato de sódio neutro de composição Na2O : 3.3 SiO2, demonstrou total efeito inibidor da corrosão da liga de A1-Mg-Si, em solução contendo até 60 p.p.m. de NaC1. Em concentrações de 1060 p.p,m. e maiores de NaC1, o silicato mostrou apenas efeito retardador da corrosão, com diminuição da incidência de pites. A análise dos produtos de corrosão, formadas sobre a superficie dos pites, feita usando-se raio-X e espectroscopia de infravermelho, mostrou que esses produtos têm estrutura amorfa e contêm silicato e grupos hidroxila. Finalmente, medidas de capacitância da dupla camada, confirmaram a existência de uma película que se forma sobre a superfície da liga de alumínio, quando em solução de silicato.;The present work analyses the inhibitor effect of sodium silicate on the corrosion of an A1-Mg-Si alloy in aereated and deaereated solutions containing varying amounts of chlorfde ions, at pH = 10.0 . Anodized and polished especimens were used in all kinds of experiments performed so as polarization curves, galvanostatic tests and galvanic couple. The experimental results showed that 1 g/l of neutral sodium silicate, whose composition was Na20: 3.3 SiO2 , presented a total inhibiting effect on the corrosion of the A1-Mg-SI alloy in aqueous solutions containing up to 60 p.p.m. NaCl. In concentrations of 1060 p.p.m. NaCl, and higher, the silicate showed only a partial inhibiting effect, diminishing pitting nucleation and propagation. Analyses of the corrosion products fomed over the effects, using X-rays and infrared spectroscopy, showed that these products were amorphous, and confirmed the presence of silicate and OH- groups. Measurements of double layer capacitance pointed to the existence of a film (probably containing aluminum silicate) that grew on the aluminum surface when imersed in a silicate solution.|http://hdl.handle.net/10183/1337
Radiação solar direta em Porto Alegre|1984|Restricted Access|Dissertação|Radiação solar;Energia solar;Geologia física|por|Neste trabalho foi calculada teoricamente a radiação solar direta normal para Porto Alegre e vizinhanças. Para tal fim foi feito um levantamento da insolação horária em Porto Alegre, entre os anos de 1968 a 1982 e, a partir destes como não se dispunha de dados experimentais, calculou-se a radiação solar global efetiva, com o auxílio de uma expressão do tipo Angstrom. A posse destes dados permitiu calcular a radiação direta normal, que se apresenta em forma de tabelas e gráficas. Como um resultado adicional, calculou-se a percentagem de dias aproveitáveis ou não para distintas hipóteses de uso da Energia Solar. Com o intuito de comprovar a validade dos cálculos desenvolvidos, compararam-se os dados de radiação difusa, calculados a partir dos de direta normal, com os obtidos por outras teorias.;In this work was calculated theoretically the norma beam solar radiation for Porto Alegre and neighbourhood. For this purpose a study was made of the hourly sunshine in Porto Alegre, during the years from 1968 to 1982. As there was no experimental data available, and based on these, the global effective solar radiation was calculated, using an ezpression of the Angstrom type. With those information at hand, it was possible to calculate the normal beam radiation which is shown in the form of tables and graphs. As an additional result the percentage of the days when the sunshine can be used or cannot be used was calculated with distinct alternatives of the use of solar energy. In order to prove the validity of the calculations made, the data of difuse radiation was compared, calculated from those of normal beam, with those obtained through other theories.|http://hdl.handle.net/10183/1339
