Título|Ano de Publicação|Tipo de Acesso|Tipo de Documento|Assuntos|Idioma|Descrição|Link de Acesso
Um algoritmo de criptografia de chave pública semanticamente seguro baseado em curvas elípticas;A semantically secure public key algorithm based on elliptic curves |2006|Open Access|Dissertação|Criptografia;Seguranca : Computadores;Elliptic curves;Public-key cryptography;Semantic security;Complex multiplication;Cryptographically strong pseudorandom bit generators|por|Esta dissertação apresenta o desenvolvimento de um novo algoritmo de criptografia de chave pública. Este algoritmo apresenta duas características que o tornam único, e que foram tomadas como guia para a sua concepção. A primeira característica é que ele é semanticamente seguro. Isto significa que nenhum adversário limitado polinomialmente consegue obter qualquer informação parcial sobre o conteúdo que foi cifrado, nem mesmo decidir se duas cifrações distintas correspondem ou não a um mesmo conteúdo. A segunda característica é que ele depende, para qualquer tamanho de texto claro, de uma única premissa de segurança: que o logaritmo no grupo formado pelos pontos de uma curva elíptica de ordem prima seja computacionalmente intratável. Isto é obtido garantindo-se que todas as diferentes partes do algoritmo sejam redutíveis a este problema. É apresentada também uma forma simples de estendê-lo a fim de que ele apresente segurança contra atacantes ativos, em especial, contra ataques de texto cifrado adaptativos. Para tanto, e a fim de manter a premissa de que a segurança do algoritmo seja unicamente dependente do logaritmo elíptico, é apresentada uma nova função de resumo criptográfico (hash) cuja segurança é baseada no mesmo problema.;This dissertation presents the development of a new public key algorithm. This algorithm has two key features, which were taken to be a goal from the start. The first feature is that it is semantically secure. That means that no polynomially bounded adversary can extract any partial information about the plaintext from the ciphertext, not even decide if two different ciphertexts correspond to the same plaintext. The second feature of the algorithm is that it depends on only one security assumption: that it is computationally unfeasible to calculate the logarithm on the group formed by the points of a prime order elliptic curve. That is achieved by ensuring that all parts of the algorithm are reducible to that problem. Also, it is presented a way to extend the algorithm so that it the resists attacks of an active adversary, in special, against an adaptive chosen-ciphertext attack. In order to do that, and attain to the assumption that only the assumption of the logarithm is necessary, it is introduced a new hash function with strength based of the same problem.|http://hdl.handle.net/10183/394
Proposta de uma arquitetura especial para simulação lógica|1988|Open Access|Dissertação|Arquitetura de computadores;Simulacao logica|por|O objetivo deste trabalho é a proposta de uma arquitetura especial para simulação lógica (AESL). As técnicas e modelos utilizados no processo de simulação lógica são brevemente revistos. É definida uma taxonomia para AESL sob a qual são analisadas diversas propostas de AESL relatadas na literatura. Uma taxonomia já existente é comparada com a proposta. A AESL definida é programável para diferentes algoritmos de simulação lógica. O detalhamento da AESL é, então, incrementado pela implementação de um algoritmo particular. Uma linguagem de simulação discreta é utilizada na construção de um modelo da arquitetura. Os resultados da simulação deste modelo permitem avaliar o desempenho da AESL e otimizar sua estrutura. Uma comparação com outras arquiteturas conclui a análise.|http://hdl.handle.net/10183/1319
Implementação de objetos replicados usando java|2000|Open Access|Dissertação|Sistemas operacionais;Tolerancia : Falhas;Java (Linguagem de programação);Replicacao : Objetos|por|Este trabalho busca a implementação da replicação de objetos através da linguagem Java e de seu sistema de invocação remota de métodos (Remote Method Invocation - RMI). A partir deste sistema, define-se uma classe de replicação - a máquina de replicação – onde a implementação de grupos de objetos é estruturada de acordo com a arquitetura cliente/servidor, sendo o cliente o representante (a interface) de um grupo de objetos e os servidores representam os demais componentes do grupo. A classe de replicação atende a uma necessidade importante dos sistemas distribuídos - o desenvolvimento de aplicações tolerantes a falhas. Fundamentalmente, a tolerância a falhas é obtida por redundância e, no caso de mecanismos de tolerância a falhas por software, esta redundância significa basicamente replicação de dados, processos ou objetos. A tolerância a falhas para tal tipo de sistema é importante para garantir a transparência do mesmo, visto que, assim como um sistema distribuído pode auxiliar muito o usuário pelas facilidades oferecidas, o não cumprimento de suas atividades de acordo com o esperado pode, em algumas situações, causar-lhe transtornos e erros irrecuperáveis nas aplicações. Finalmente, como principal contribuição, este trabalho descreve e implementa a solução completa para a construção de uma biblioteca de classes que oferece a replicação de forma totalmente transparente para o usuário.|http://hdl.handle.net/10183/1328
Em direção a agentes pedagógicos com dimensões afetivas|2001|Open Access|Tese|Informática : Educação;Sistemas multiagentes;Tutores inteligentes;Avaliacao pedagogica;Inteligência artificial|por|O contexto desta tese é a Inteligência Artificial aplicada à Educação, especificamente a área dos Sistemas Tutores Inteligentes (STI). Apesar das características multidisciplinares e interdisciplinares, a preocupação maior do trabalho se dá quanto aos aspectos computacionais. A multidisciplinaridade está na relação entre os aspectos educacionais, filosóficos e psicológicos inerentes a toda construção de um software educacional, e a interdisciplinaridade acontece no relacionamento da IA com a Informática na Educação. Esta tese propõe o uso de aspectos afetivos como apoio à decisão de ação por parte de um STI. As nossas hipóteses fundamentais são: um sistema de ensino e aprendizagem computacional deve levar em consideração fatores afetivos tornando mais flexível a interação; e a arquitetura de um sistema computacional de interação em tempo real com agentes humanos deve prever explicitamente, em sua arquitetura básica, as crenças e o raciocínio afetivos. Para demonstrar essas idéias, foi definida uma arquitetura para apoiar um STI de modo a reconhecer alguns fatores afetivos, representativos de estratégias de ação de agentes humanos em interação com sistemas. Esse reconhecimento é realizado através de construções retiradas dos comportamentos observáveis do agente humano em contextos determinados. A arquitetura prevê um Sistema Multiagente para executar a percepção de fatores afetivos e da conduta do aluno em interação e de um agente pedagógico, representando o tutor.  O agente tutor é modelado através de estados mentais e é responsável pelo raciocínio de alto nível. O modelo computacional de agentes de Móra [MÓR2000] foi utilizado para implementar o “kernel cognitivo” (termo cunhado por Móra e Giraffa [GIR99] que designa a parte responsável pela deliberação). O “kernel cognitivo” decide que ações tomar para um conjunto de características de uma avaliação pedagógica. A utilização de fatores afetivos e da avaliação cognitiva de situações emocionais permite a flexibilização das estratégias quanto à adaptabilidade a agentes humanos. Particularmente, foi adotado o enfoque cognitivo para análise de situações, baseado em teorias cognitivistas sobre emoções. O uso de tecnologia multiagente, no enfoque mentalístico, especificamente BDI (Belief, Desire, Intention) e da ferramenta X-BDI, permite a formalização e construção de um tutor atuante na avaliação pedagógica. A modelagem do aluno passa a ser constituída de aspectos qualitativos e quantitativos. Estudos de casos são apresentados, em situações que consideram os fatores afetivos e nas mesmas situações sem estas considerações. As decisões do tutor para agir são analisadas e confrontadas. Os resultados mostram um impacto positivo na adaptabilidade e ação pedagógica do tutor, sendo coerente com as teorias modernas [SAL97],[DAM2000] sobre as emoções que as consideram partes fundamentais para agir. A maior contribuição desta tese está na agregação de raciocínio sobre a afetividade envolvida em situações de ensino aprendizagem de agentes humanos e artificiais e avança dentro da perspectiva de pesquisa do grupo de IA da UFRGS, quanto ao desenvolvimento de Ambientes de Ensino e Aprendizagem modelados com tecnologia multiagente, com o uso da metáfora de estados mentais.|http://hdl.handle.net/10183/1329
Eletroforese capilar de zona|1993|Open Access|Dissertação|Áreas clássicas de fenomenologia e suas aplicações;Lasers;Eletroforese;Fluorescência;Fisica de laser|por|A aplicação de uma diferença de potencial entre os extremos de um capilar de material dielétrico, preenchido com solução aquosa, provoca um fluxo eletroosmótico através deste. As moléculas, de um pequeno volume de uma amostra injetada neste fluxo, se separam umas das outras devido a diferença entre suas mobilidades eletroforéticas. Este método de separação é conhecido como Eletroforese Capilar. Ele tem se mostrado muito eficiente na separação de moléculas orgânicas complexas e é um método complementar à Cromatografia Líquida. Os sistemas de detecção mais comumente utilizados são do tipo eletroquímico ou ópticos, estes últimos podem ser de absorção ou fluorimétricos. Alta sensibilidade tem sido obtida com sistemas de detecção com fluorescência induzida a lazer, como o de Argônio, Hélio-Cádmio e de semicondutor. Neste trabalho testamos o desempenho de um laser ultravioleta pulsado, usando o mini-laser de N2 (337 nm), para induzir a fluorescência em moléculas marcadas com marcadores moleculares fluorogênicos apropriados. Para aminoácidos obtivemos limites de detecção da ordem de alguns attomóis(10-18 mol).Em condições otimizadas a quantidade mínima detectável de melatonina e serotonina, usando o marcador molecular fluorogênico isotiocianato de fluoresceÍna, foi de 150 attomóis, que corresponde a um limite de detecção em concentração de 50 nM. Os peptídeos bradicinina, lisil-bradicinina e metionil-lisil-bradicinina foram separados entre si e detectados no limite de detecção em concentração de 1,2 fmóis quando marcados com fluorescamina e a 90 attomóis quando com orto""ftaldialdeído. Do nosso conhecimento, esta é a primeira vez que um laser pulsado (N2) é usado num sistema de detecção de eletroforese capilar.|http://hdl.handle.net/10183/1338
Uma interface visual para modelos de bancos de dados orientados a objetos com suporte para versões|1998|Open Access|Dissertação|Banco : Dados;Banco : Dados orientados : Objetos;Interface : Usuario;Versoes : Banco : Dados;Interface visual|por|Este trabalho apresenta o projeto de uma interface visual para modelos de bancos de dados orientados a objetos, com suporte para versões. Um requisito importante, não atendido pelas interfaces visuais específicas e genéricas para sistemas orientados a objetos, é a capacidade de definir e manipular versões de um objeto nos vários níveis da hierarquia de classes (herança por extensão, adotada pelo modelo de versões [GOL 95]). As interfaces, que manipulam versões, suportam essa característica no nível mais especializado da hierarquia (herança por refinamento, adotada pelos principais SGBDOOs). Procurando prover a possibilidade do versionamento de objetos nos vários níveis da hierarquia de classes, surgiu a motivação para projetar e desenvolver uma interface visual com funcionalidades de interfaces existentes (específicas e genéricas) e que obedeça às características principais dos Modelos de Dados Orientados a Objetos e do Modelo de Versões [GOL 95], seguindo as características recomendadas para interfaces visuais para MDOOs, propostas em [SIL 96]. Foi implementado um protótipo com algumas das características projetadas para o browser de objeto e seu suporte para versões.|http://hdl.handle.net/10183/1347
Paralelização de métodos de resolução de sistemas lineares esparsos com o DECK em um Cluster de PCs|2000|Open Access|Dissertação|Análise numérica;Sistemas lineares;Cluster|por|O objetivo desta dissertação é a paralelização e a avaliação do desempenho de alguns métodos de resolução de sistemas lineares esparsos. O DECK foi utilizado para implementação dos métodos em um cluster de PCs. A presente pesquisa é motivada pela vasta utilização de Sistemas de Equações Lineares em várias áreas científicas, especialmente, na modelagem de fenômenos físicos através de Equações Diferenciais Parciais (EDPs). Nessa área, têm sido desenvolvidas pesquisas pelo GMC-PAD – Grupo de Matemática da Computação e Processamento de Alto Desempenho da UFRGS, para as quais esse trabalho vem contribuindo. Outro fator de motivação para a realização dessa pesquisa é a disponibilidade de um cluster de PCs no Instituto de Informática e do ambiente de programação paralela DECK – Distributed Execution and Communication Kernel. O DECK possibilita a programação em ambientes paralelos com memória distribuída e/ou compartilhada. Ele está sendo desenvolvido pelo grupo de pesquisas GPPD – Grupo de Processamento Paralelo e Distribuído e com a paralelização dos métodos, nesse ambiente, objetiva-se também validar seu funcionamento e avaliar seu potencial e seu desempenho. Os sistemas lineares originados pela discretização de EDPs têm, em geral, como características a esparsidade e a numerosa quantidade de incógnitas. Devido ao porte dos sistemas, para a resolução é necessária grande quantidade de memória e velocidade de processamento, característicos de computações de alto desempenho.  Dois métodos de resolução foram estudados e paralelizados, um da classe dos métodos diretos, o Algoritmo de Thomas e outro da classe dos iterativos, o Gradiente Conjugado. A forma de paralelizar um método é completamente diferente do outro. Isso porque o método iterativo é formado por operações básicas de álgebra linear, e o método direto é formado por operações elementares entre linhas e colunas da matriz dos coeficientes do sistema linear. Isso permitiu a investigação e experimentação de formas distintas de paralelismo. Do método do Gradiente Conjugado, foram feitas a versão sem précondicionamento e versões pré-condicionadas com o pré-condicionador Diagonal e com o pré-condicionador Polinomial. Do Algoritmo de Thomas, devido a sua formulação, somente a versão básica foi feita. Após a paralelização dos métodos de resolução, avaliou-se o desempenho dos algoritmos paralelos no cluster, através da realização de medidas do tempo de execução e foram calculados o speedup e a eficiência. As medidas empíricas foram realizadas com variações na ordem dos sistemas resolvidos e no número de nodos utilizados do cluster. Essa avaliação também envolveu a comparação entre as complexidades dos algoritmos seqüenciais e a complexidade dos algoritmos paralelos dos métodos. Esta pesquisa demonstra o desempenho de métodos de resolução de sistemas lineares esparsos em um ambiente de alto desempenho, bem como as potencialidades do DECK. Aplicações que envolvam a resolução desses sistemas podem ser realizadas no cluster, a partir do que já foi desenvolvido, bem como, a investigação de précondicionadores, comparação do desempenho com outros métodos de resolução e paralelização dos métodos com outras ferramentas possibilitando uma melhor avaliação do DECK.|http://hdl.handle.net/10183/1367
Filmes finos de óxido de estanho: efeitos da implantação iônica e de ambientes oxidantes e redutores|1990|Open Access|Dissertação|Filmes finos;Sputtering;Implantação de íons|por|Filmes finos de óxido de estanho depositados por ""sputtering"" reativo foram caracterizados com bases em análises feitas por Espalhamento Nuclear Ressonante, Espectroscopia por Retroespalhamento Rutheford, Espectroscopia Mössbauer de Elétrons de Conversão e Difração de Raios-X e pelas medidas de Resistência de Folha. Numa primeira fase, as amostras foram submetidas a tratamentos térmicos em ar e expostas à gás de cozinha, afim de testar as propriedades sensoras do material. Os filmes finos como depositados foram modificados pelos tratamentos térmicos e exposições a gases, que aumentaram sua condutividade elétrica e alteraram a concentração de vacâncias de oxigênio. Numa segunda fase, os filmes foram submetidos a diferentes tratamentos térmicos, implantados com os íons Fe+, ZN+,Cu+,Ga+ e As+ e novamente tratados termicamente. Foram observados aumentos na condutividade elétrica induzidos pela dopagem dos filmes e algumas correlações entre o perfil de distribuição das espécies implantadas e as razões O/Sn em função da profundidade.|http://hdl.handle.net/10183/1370
O Estuário do Guaíba : características texturais, mineralógicas e morfológicas|1971|Open Access|Dissertação|Sedimentos : Guaíba, Lago (RS) : Guaíba, Lago (RS)|por|Baseado em análise texturais e mineralógicas de amostras do leito do Estuário do Guaíba o autor define as seguintes fácies sedimentares: Arenosa, sub-devidida em Sub-Fácies Areia Grossa, Média e Final; Areno-Síltica; Silto-Arenosa e Areno-Silto-Argilosa. Cada uma destas fácies é o resultado da mistura e deposição de detritos sólidos provenientes de quatro áreas fontes distintas: o Escudo Cristalino; as Formações Quaternárias; a suspensão na corrente dos Rios Jacuí, Gravataí, Sinos e Caí que cortam rochas de idade Pré-Cambriana, Paleozóica, Mesozóica e Quaternária, originando, assim, uma complexa mistura que flui para o estuário e o material recente que ocorre nas margens do mesmo. A mineralogia das Argilas mostra um significativo vínvulo com as rochas-fonte, salientando-se a Montmorilonita proveniente da Formação Graxaim, Caolinita e Clorita carregadas do Escudo Pré- Cambriano e Caolinita resultante da erosão da Laterita Serra de Tapes. Relações com os resultados obtidos por diversos autores em outros estuários são discutidos paralelamente, ficando bem caracterizada a grande influência das áreas adjacentes e emersas, na distribuição dos sedimentos de fundo.|http://hdl.handle.net/10183/1371
O problema do pixel mistura: um estudo comparativo|1993|Open Access|Dissertação|Pixel mistura;Processamento de imagens;Sensoriamento remoto;Classificacao multiespectral|por|Os satélites para sensoriamento remoto atualmente dispoívies à comunidade científica possuem diferenies resoluções espaciais, por exemplo: SPOT 20 e 10 metros, LANDSAT-TM 30 metros e NOA-AVHRR 1100 metros. Essa resolução frequentemente não é grande o suficiente para um grande número de aplicações que necessitam de uma percepção da cena mais detalhada. Muitas vezes, no interior de uma célula de resolução (pixel) mais de uma classe ocorre. Este caso é conhecido como pixel mistura. Na classificação de imagens obtidas por sensoriamento remoto é comum a utilização de metodologias que atribuem somente uma classe a um pixel, como o procedimento clássico da máxima verossimilhança. Esse procedimento resulta frequentemente em uma estimação errônea das áreas ocupadas pelas classes presentes na cena. Em alguns casos, especialmente quando não há uma classe dominante, isto pode ser a fonte de um erro significativo. Desde o início dos anos 70, diferentes metodologias têm sido propostas para o trabalho num nível de subpixel. A grande vantagem do trabalho nesse nível é que um pixel não é necessariamente atribuído a somente uma classe. O pixel tem um grau que o correlaciona a cada classe: de zero(se a classe não ocorre no pixel) até 1 (a classe ocorre no pixel inteiro). Assim, cada pixel tem um vetor associado que estima a proporção de cada classe nele. A metodologia mais comumente utilizada considera a refletância do pixel mistura como uma combinação linear da refletância média de cada classe componente. De acordo com essa visão as refletâncias associadas às classes componentes são consideradas constantes conhecidas i.e., não são variáveis aleatórias. Assim, a proporção de cada classe no pixel é obtida pela resolução de um sistema de equações lineares.  Uma outra metodologia é assumir as refletâncias que caracterizam as classes como sendo variáveis aleatórias. Nesta visão, as informações a respeito das distribuições das classes é utilizada. A estimativa das proporções de cada classe é obtida pelo vetor de proporções que maximiza a função de verossimilhança. Mais recentemente, uma visão diferente foi proposta: a utilização da lógica fuzzy. Esta metodologia utiliza o conceito de função de pertinência que é essencial à teoria dos conjuntos fuzzy. Esta função utiliza elementos com natureza estatística ou não para a estimação das proporções. No presente trabalho, duas funções de pertinência foram definidas: a primeira baseada na função densidade probabilidade gaussiana e a segunda baseada diretamente na distância de Mahalanobis. O objetivo deste estudo é avaliar cada uma das metodologias anteriores em termos de acurácia, performance e dados necessários. Para este objetivo, as metodologias foram implementadas computacionalmente e alimentadas com imagens LANDSAT-TM. Para a avaliação da acurácia dos modelos um estudo qualitativo foi executado.|http://hdl.handle.net/10183/1373
