Título|Ano de Publicação|Tipo de Acesso|Tipo de Documento|Assuntos|Idioma|Descrição|Link de Acesso
A lateral pós-vocálica no português gaúcho : análise variacionista e representação não-linear|1993|Open Access|Dissertação|Lingua portuguesa : Gramatica : Fonologia : Variacao linguistica : Variantes linguisticas;Variação linguística : Rio Grande do Sul|por|Este trabalho é um estudo da lateral pós-vocálica no que se refere à sua realização como variante velarizada ou vocalizada, sob a perspectiva variacionista. O corpus utilizado é a fala de vinte e oito indivíduos de quatro regiões representativas de diferentes grupos étnicos existentes no Rio Grande do Sul. São examinadas as variáveis lingüísticas e extralingüísticas envolvidas na variação em estudo, confirmando-se a variável grupo étnico como a que mais favorece a presença das duas variantes. Além disso, apresentam-se as regras de velarização e de vocalização da lateral pós-vocálica em termos de traços fonológicos na linha de Clements e discute-se a posição destas no sistema de acordo com a linha da Fonologia Lexical.|http://hdl.handle.net/10183/1443
Armas do desenho : análise da minha produção de 1992 e 1993|1994|Open Access|Dissertação|Desenho : Analise;Desenho : Composicao|por|Essa dissertação analisa a minha produção em desenho de 1992 e 1993, intitulada Armas do Desenho, partindo do estudo comparativo com minha produção anterior de 1988 e 1989, procurando, através disso, delinear a idéia de desenho presente nesses dois períodos e relacionar as influências, em meus desenhos, do trabalho de Jasper Johns e René Magritte. Além de uma breve revisão da importância do desenho como meio técnico na elaboração de imagens,essa dissertação relaciona, no tocante à produção das minhas imagens, os conceitos peirceanos de signo(principalmente ícone e índice), procurando, através disso, caracterizar o desenho como representação e como ação, respectivamente. São identificadas e estudadas, também, na série Armas do Desenho, estratégias de associação de imagens tais como paródia e alegoria. Para a análise das características estruturais de composição dos meus desenhos, foi adotado e adaptado o modelo de abordagem proposto por Clive Ashwin, que possibilitou a definição e o uso de uma nomenclatura o mais objetiva possível, auxiliando na leitura das estratégias de construção das minhas imagens. A análise da série Armas do Desenho procurou caracterizar o desenho como prática significante que, como tal, necessita de uma inter-relação constante entre a formação de conceitos e a atividade prática(o agir).|http://hdl.handle.net/10183/1447
Harold Pinter, cinema e literatura : os limites da realidade|1996|Open Access|Tese|Literatura|por|Partindo de duas questões teóricas preliminares, uma, da representação (literária e cinematográfica)do real e do imaginário, tanto no ângulo da produção como no da sua recepção e, a outra, da articulação entre formas de expressão artísticas distintas, ou seja, da interdisciplinaridade, este trabalho examina a presença do tema relativo aos limites entre realidade e fantasia no teatro, no cinema e na literatura, centrando sua atenção na obra de Harold Pinter. Consta de duas partes, cada uma com três capítulos. Na primeira, ""Os pressupostos,"" discute-se as questões que fornecem seu substrato teórico. A segunda é dedicada ao corpus, identificando em seu título o tema investigado: ""Os limites da realidade."" Quanto à questão da representação, procura-se refutar ""a afirmação de que a arte seja uma imitação da realidade. Uma releitura da Poética, de Aristóteles, reforçada pela opinião de diversos estudiosos da mesma, permite afirmar que a mÍmese corresponde, isto sim, a uma representação que envolve uma construção em que elementos da realidade são organizados segundo uma verdade criada pela própria obra, de acordo com critérios inerentes a ela. Além disso, através de uma leitura de Kathryn Hume, procura-se afirmar a interação sinestésica quase que permanente dos impulsos realista e da fantasiana literatura, identificando os tipos com que a fantasia se manifesta e as técnicas usadas para sua criação.  A primeira parte encerra-se com um exame do relacionamento da literatura com as artes visuais e dramáticas, relações inter-disciplinares que situam este trabalho na literatura comparada.Dentre vários autores cujas obras contribuem para tal fim, destaca-se Martin Esslin, que estabelece os limitesde cada uma das artes dramáticas, identifica contatos delas com a literatura e permite, através de uma leitura de seu estudo sobre o teatro do absurdo, seja estabelecida a evolução que liga Aristóteles a Pinter. O corpus centra-se na obra de Pinterpara o teatro e para o cinema, sem limitar-se a ela,pois são também analisadas obras de outros escritores e cineastas, estabelendo-se aproximações ou contrastes entre elas. No quarto capítulo estão agrupadas obras nas quais desponta a imposição de verdades pela força fisica ou verbal. A luta pelo poder, a expulsão de elementos estranhos, dúvidas sobre a identidade e a inter-penetrablidade arte-vida caracterizam o capítulo seguinte. A ênfase temática do sexto capítulo recai sobre as limitações impostas pela condição humana. Praticamente todas as obras expressam a impossibilidade da existência de certezas absolutas e de uma perfeita distinção dos limites da realidade. Com isso, é possível afirmar não ser o objetivo da arte reproduzir a realidade. Mesmo que o fosse, tal tentativa resultaria infrutífera devido às limitações humanas.;This work examines the presence of the theme concerning the limits between reality and fantasy in the theatre, cinema, and in literature, focusing on the work of Harold Pinter. It departs from two basic theoretical questions, that of representation (literary and cinematographic) of the real and the imaginary, from the angle of its production and from its reception, and that of the articulation between different means of artistic expression, that is, of interdisciplinarity, In ""ThePresuppositions,""the first of the two parts comprising three chapters, the questions which provide its theoretical substratum are discussed. In ""The Limits of Reality,""the theme is identified and the corpus examined. Concerning representation,it is the aim of this work to try and deny the concept which says that art is an imitation of reality. A rereading of Aristotle's Poetics, reinforced by the opinion of several of its exegetes,has made it possible to state that his mimesis actually corresponds to a representation which consists of a construction in which elements from reality are organized according to the truth created by the work itself: following its own criteria.Furthermore, through Kathryn Hume, there is an attempt to show the almost permanent synergistic interaction of impulses from realism and fantasy in literature, identifying the types through which fantasy is manifested as well as the techniques used to create it.  The first part ends with an investigation of the interdisciplinary relations involving literature, drama and the visual arts, thus placing this study in the realm of comparative literature. Among several authors whose works add to achieve this goal, a special role is reserved to Martin Esslin,who shows the limits of each kind of drama and points out their contacts with literature,and allows,through a reading of his study of the theatre of the absurd, to identify the evolutionary line which leads from Aristotle to Pinter. The corpus is centred on Pinter's works for the theatre and for the cinema, without limiting itself to it, for works by other writers and filmmakers are also analysed, when similaritiesor contrasts between them are pointed out. In chapter four are grouped the works whichare linkedby the common presence of the imposition of truths through physicalor verbal strength. The struggle for power, the expulsion of strange elements, the uncertainty about people's identities,and the difficulty to establish limits between life and art characterize the following chapter. The thematic emphasis of chapter six is placed on the limitations imposed by the human condition. Practically all the works analysed express the impossibility of the existence of absolute certainties and of a perfect distinction of the limits of reality. It is therefore possible to state that the aim of art is definitely not to copy reality. Even if it were, such an attempt would inevitablybe jeopardized by human limitations.;Ayant comme point de départ deux questions théoriques préliminaires,l'une, cellede Iareprésentation(littéraireet cinématographique)du réeI et de l'imaginaire,aussi sous l'angle de sa production que sous celui de sa réeeption et, l'autre, de l'artieulation entreformesd'expression artistiques diverses, elest à dire, de l'interdisciplinarité, cette oeuvreexamineIapréseneedu theme concemantIes limites entre réalité et fantaisie dans Ie théâtre, Ie cinémaet Ia littérature,ayanteommecentrede l'attention l'oeuvre de Harold Pinter.Elle se compose de deux parties, chaqu'une avec trois chapitres. Dans Ia premiere, ""Les présupposés,"" on discute Ies questions qui constituent son substrat théorique. La deuxieme est dédiée au corpus, identifiant Ie theme dans son titre: ""Les limites de Ia réalité."" Quant à Ia questjon de Ia représentation , on essaie de réfuter l'affinnation de que l'art soit une imitation de Ia réalité. Une relecture de Ia Poétique, d'Aristote, renforcée de l'opinion de plusieurs de ses exégetes, permet d'affumer que Ia mimesis correspond, au contraire, à une représentation qui présuppose une construction dans IaquelleIes élémentsde Ia réalitésont organisésselonunevérité créée par l'oeuvre même, suivant des eriteres qui Iui sont propres.  La premierepartietermineavecun examen du rapport entre Ia littérature et Ies artsvisuelset dramatiques, des rapports interdisciplinairesqui situent cette oeuvre dans Ie domaine de Ia littérature eomparée. Parmi Ies plusieurs auteurs dont Ies oeuvres contribuent pour cela, Martin Esslin joue un rôle spéciaI, établissant Ies limites de chaqulmdes arts dramatiques,identifiantIeurs eontacts avee Ia littérature et permettant, à traversune Iecturede son étude sur Ie théâtre de l'absurde, d'établirl'évolution qui va d'Aristote à Pinter. Le corpus est centré sur l'oeuvre de Pinter pour Ie théâtre et pour Ie cinéma, sansêtre limité à cet auteur, puisque des oeuvres d'autres écrivains et cinéastes y sont aussianalysées,ce qui permet d'établir des approximations ou des contrastes entre elles. Le chapitrequatregroupe des oeuvres dansIesquellesse distingue l'imposition de vérités par Ia force physique ou verbaIe. La Iutte pour Ie pouvoir, l'expulsion des éIements étranges, Ies doutes sur l'identitédespersonnes et Ia difficultéde faire Ia distinction entre rart et Ia vie caractérisent Ie chapitre suivant. L'emphasethématique du chapitre six est posée sur Ies limitations imposées par Ia condition humaine. Pratiquement toutes Ies oeuvres anaIysées expriment l'impossibilité de rexistencede certitudesabsolueset d'une distinctionparfaite des limites de Ia réalité. Par conséquent,c'estpossibIe di affirmer que l'objectif de l'art n'est pas réproduire Ia réalité. Même s'ilIe rut, cette tentative résulterait inutile à cause des limitationshumaines.|http://hdl.handle.net/10183/1448
Definição terminológica : fundamentos teórico-metodológicos para sua descrição e explicação|2001|Open Access|Tese|Terminologia;Lexicografia : Dicionário especializado;Terminologia : Dicionário terminológico|por|Ao propor uma nova metodologia analítico-descritiva para o enfoque da definição terminológica científica, este trabalho pretende contribuir para o reconhecimento dos perfis desse tipo de definição no escopo do desenvolvimento das teorias terminológicas de perspectiva lingüística. À luz de algumas idéias da semântica enunciativa, especialmente as cunhadas por Émile Benveniste, o estudo demonstra a viabilidade e produtividade de um reconhecimento de relações mantidas quer entre o enunciado-texto da definição e seu ambiente de significação, quer entre o enunciado definitório e seus sujeitos enunciadores. Para tanto, são examinadas as diferentes formulações de definições dicionarizadas para termos de Química, contrastadas com uma pequena amostra de definições de termos de Ciência Política, também coletadas em dicionários especializados. O trabalho conclui que é importante o reconhecimento do enunciado definitório em relação a todo um entorno de significação das linguagens científicas envolvidas, evidenciando que a definição é um objeto textual multidimensional, dotado de características que o fazem exceder aqueles limites mais usuais ou tradicionais de um objeto lógico-categorial. Além disso, o trabalho demonstra que não é funcional, no seu enfoque, uma separação a priori e estrita entre conceitos e significados.|http://hdl.handle.net/10183/1516
O feedback avaliativo e corretivo em composições de língua inglesa analisadas por professores não-nativos|2001|Open Access|Dissertação|Linguagem e línguas;Língua estrangeira (língua inglesa) : Ensino;Língua inglesa : Composição escrita : Feedback : Correção de erros escritos;Língua inglesa : Composição escrita : Análise de erros|por|Esse trabalho foi desenvolvido com o objetivo de verificar como os professores de Inglês como Língua Estrangeira (LE) corrigem as composições dos seus aprendizes de nível intermediário e como o feedback avaliativo e corretivo são fornecidos. Os dados dessa pesquisa foram coletados em quatro cursos livres de inglês localizados em Porto Alegre, RS (Brasil). Todos os onze professores participantes são falantes do Português como língua materna. Os dados incluem como amostra a coleta de 79 composições de diferentes aprendizes já corrigidas pelos professores, bem como um questionário aplicado aos mesmos e aos seus respectivos aprendizes. As informações provenientes dos questionários objetivaram caracterizar esses participantes mostrando suas opiniões a respeito do erro e correção na escrita. Além disso, o modelo avaliativo de Gaudiani (Gaudiani, 1981 apud Hadley, 1993) foi utilizado para verificarmos a homogeneidade em termos de notas ou conceitos a serem atribuídos ao mesmo conjunto de composições quando avaliadas pelos onze professores.  Alguns dos nossos resultados indicaram que: a) os professores não têm critérios claros de correção; b) os professores corrigem mais erros gramaticais em detrimento aos demais erros; c) os professores não corrigem erros relativos à organização; d) os professores fornecem a resposta correta ao erro do aprendiz; não havendo espaço para a auto-correção; e) a grande maioria dos professores atribuiu a mesma nota ou conceito quando utilizado o modelo avaliativo de Gaudiani. Esses resultados sugerem a riqueza desta área bem como destacam a necessidade de trabalhar de modo mais intenso a questão do tratamento do erro e feedback na escrita. Na parte final do trabalho são apresentadas sugestões práticas para os professores de língua estrangeira para que, desta forma, esses profissionais estejam melhor preparados para oferecer um feedback mais eficaz na escrita dos aprendizes.|http://hdl.handle.net/10183/1518
A paixão proibida no Hipólito de Eurípedes e em Fedra de Sêneca|2001|Open Access|Dissertação|Literatura|por|Este estudo visa a analisar a peça Hipólito de Eurípides e a Fedra de Sêneca, a partir da intertextualidade, termo criado e difundido por Julia Kristeva no âmbito dos estudos da Literatura Comparada. Procuramos investigar o tema “a paixão proibida” em ambos os textos, destacando o diálogo mútuo que envolvem tais obras. Nessa pesquisa, estudamos essencialmente o discurso feminino, o desenvolvimento da paixão em seus diversos estágios, o ódio masculino contra as mulheres, o pensamento estóico subjacente nas falas das personagens de Sêneca. Outros aspectos também foram investigados como a caracterização das personagens e o enredo. Sêneca apropriou-se de alguns elementos do texto de Eurípides e reformulou-os em um amplo processo de reescrita o que culminou em uma nova obra estética com traços da sua cultura romana.|http://hdl.handle.net/10183/1615
O ensino da tradução : uma nova concepção didática|2001|Open Access|Dissertação|Línguas;Ensino e aprendizagem;Tradução;Didática|por|Esta dissertação tem por objeto a Didática do Ensino da Tradução. Partindo do pressuposto que tradução pode ser ensinada, pretende, através dos postulados teóricos de DELISLE e HURTADO, chegar à concepção da melhor abordagem didática para esse ensino. Considerando a realidade organizacional e didática de um curso de formação de tradutores, analisa a sua situação atual e oferece sugestões para a otimização do seu trabalho, levando em conta a opinião de estudantes e professores que a ele estão vinculados. Neste trabalho, a perspectiva escolhida foi a do Ensino por Objetivos de Aprendizagem, desenvolvida por meio do Enfoque por Tarefas de Tradução. Inicialmente faz-se uma revisão bibliográfica sobre o ensino da tradução e suas perspectivas em âmbito nacional e institucional; em seguida, retomam-se várias tendências didáticas dessa área de estudo e chega-se ao posicionamento por uma nova proposta didática que encare a tradução como processo mental peculiar, ou seja, um conhecimento procedimental - o saber como - que fundamentado em princípios teóricos que serão fixados pela prática, é processado de forma essencialmente automática. Esses princípios, oriundos da psicologia cognitiva, encaminham o trabalho para a proposição de novas possibilidades de ensino e aprendizagem. O estudo realizado propiciou o surgimento de diversas questões sobre a situação do ensino da tradução, em sentido amplo, mas principalmente no Bacharelado em Tradução da UFRGS. A reflexão que a partir daí se faz resulta em sugestões sobre procedimentos didáticos que poderão subsidiar esse curso, não só nos seus aspectos pedagógicos, mas também na sua estrutura organizacional.|http://hdl.handle.net/10183/1648
Para o reconhecimento da especificidade do termo jurídico|2001|Open Access|Tese|Terminologia;Terminografia;Terminografia jurídica;Linguagem jurídica;Linguagem de especialidade;Terminologia jurídica|por|Este trabalho defende de que a idéia que critérios lingüísticos e pragmáticos contribuem para o reconhecimento da especificidade do termo jurídico. Desse modo, parte do princípio que a identificação de uma terminologia está vinculada ao reconhecimento da natureza e dos propósitos daqueles que a utilizam em uma dada área de conhecimento, o que, na área jurídica, se torna evidente na expressão da normatividade da lei. A pesquisa utiliza como referencial teórico as concepções de base da Teoria Comunicativa da Terminologia, da Teoria dos Atos de Fala, aportes da Teoria Semiótica do Texto no âmbito jurídico, bem como fundamentos gerais da ciência jurídica. O corpus de estudo, a partir do qual se demonstra a validade da idéia defendida, é formado por textos legislativos. A Constituição Brasileira de 1988 foi escolhida como campo preferencial de pesquisa e é examinado como objeto da comunicação que se estabelece entre o destinador e o destinatário no âmbito do universo sócio-cultural da área jurídica.  Descrevem-se os mecanismos que tecem a rede modal que estrutura esse tipo de texto, considerando-se que a enunciação da norma constitucional configura um ato de fala jurídico. Esse ato de fala é analisado na manifestação de normas de três categorias: programáticas, de atribuição de poder e competência e de conduta, destacando-se o caráter performativo dos verbos que expressam tais normas. Após a identificação do padrão morfossintático e semântico que caracteriza a sua estrutura frasal, analisam-se os elementos que vinculam o verbo, seu sujeito e complementos aos propósitos da área temática, com destaque para sua implicação pragmática. Conforme a pesquisa demonstra, tais propósitos imprimem o caráter de imperatividade àquilo que é comunicado, conferindo especificidade às unidades lexicais que integram a estrutura frasal dos verbos focalizados. Conclui-se que o verbo performativo é fator primordial no processo de atualização da especificidade dos termos na linguagem jurídica, bem como se demonstra que alguns dos verbos analisados se constituem em genuínos candidatos a termo jurídico. Finalizando a investigação, são indicados parâmetros para a marcação de elementos lingüísticos, tanto morfossintáticos como semânticos e de natureza pragmática, para o processamento informatizado da linguagem usada no Direito.|http://hdl.handle.net/10183/1649
Língua estrangeira moderna no vestibular : que conhecimento lingüístico é exigido nas provas de língua espanhola?|2001|Open Access|Dissertação|Língua espanhola|por|Este trabalho desenvolve-se na área da Lingüística Aplicada ao Ensino do Espanhol como Língua Estrangeira. O propósito é o de examinar as provas de espanhol dos vestibulares de três Instituições de Ensino Superior de Porto Alegre e Grande Porto Alegre, Rio Grande do Sul, Brasil, no período compreendido entre os anos de 1996 a 2000, para depreender delas o tipo de conhecimento lingüístico exigido do candidato. Empregamos como base metodológica a avaliação formativa, com enfoque qualitativo na interpretação das informações e quantitativo na coleta e exposição dos dados, resultando em um quadro descritivo da realidade das provas examinadas. O estudo caracteriza-se como exploratório, sem levantamento de hipóteses. A falta de pesquisas sobre as provas de espanhol nos vestibulares, e de literatura específica sobre o assunto resultou na busca de uma base teórica que desse suporte a uma análise clara e ajustada ao objetivo. Teóricos clássicos como Saussure (1974), Bloom (1983) até autores contemporâneos como Ortega Olivares (1990), Orlandi (1987) e Wiggins e McThige (1998) constituíram o referencial teórico do trabalho.  A análise das provas de espanhol foi organizada tendo em vista os conceitos de Orlandi sobre tipos de discurso, o de Wiggins e MacThige sobre os tipos de perguntas de compreensão e de Ortega Olivares sobre o conceito de gramática. Os resultados apontam para a presença dos discursos autoritário, lúdico e polêmico com a predominância desse último. As perguntas de unidade preponderam sobre as do tipo essencial e o conhecimento gramatical, em grande parte, ainda de base estruturalista indicam que uma nova postura deva ser adotada em relação à elaboração das provas de vestibular e à abordagem do conteúdo.|http://hdl.handle.net/10183/1652
Des mots, des figures, des personnages : une étude de quelques aspects de paroles de Jacques Prévert|2001|Open Access|Dissertação|Literatura|fra|Ce mémoire a pour objectif d'étudier quelques aspects de Paroles, recueil de poèmes de Jacques Prévert (1900-1977). Il commence par un premier chapitre d'introduction à la rhétorique: une très brève histoire de la rhétorique ou de sa place la société occidentale, puis une présentation du système rhétorique. Le deuxième chapitre étudie la trajectoire de vie et d'écriture de Jacques Prévert jusqu'à la publication de Paroles. Le troisième chapitre étudie quelques aspects de Paroles. Il commence par se demander quel est le langage que Prévert utilise: est-il aussi simple et populaire qu'il le semble? Puis, il se penche sur la question des jeux de mots. Ensuite, il essaye de faire un repérage assez complet, un recensement des figures de rhétorique dans Paroles. Pour éviter que la lecture du chapitre devienne excessivement lourde et indigeste, il a été organisé une annexe que a reçu tout le recensement quantitatif: elle se trouve après le texte proprement dit du mémoire. Enfin, le chapitre présente quelques considérations d'ordre thématique, sur la question de la population: quels genres de personnages peuplent Paroles? Un bref lexique des principaux termes de la rhétorique se trouve à la fin du mémoire, avant la bibliographie.;A presente dissertação tem por objetivo estudar alguns aspectos de Paroles, conjunto de poemas de Jacques Prévert (1900-1977). Ela começa com um primeiro capítulo de introdução à retórica: uma breve história da retórica ou de seu lugar na sociedade ocidental, em seguida uma apresentação do sistema retórico. O segundo capítulo estuda a trajetória da vida e da escrita de Jacques Prévert até a publicação de Paroles. O terceiro capítulo estuda alguns aspectos de Paroles. Ele começa por perguntar qual o tipo de linguagem utilizada por Prévert: ela é tão simples e popular quanto parece? Depois, ele se debruça sobre a questão do jogo de palavras. Em seguida ele tenta fazer um levantamento bastante completo, um inventário das figuras de retórica presentes em Paroles. Para evitar que a leitura do capítulo se tornasse excessivamente pesada e indigesta, foi organizado um anexo que recebeu todo o inventário quantitativo; ele se encontra após o texto propriamente dito da dissertação. Enfim, o capítulo apresenta algumas considerações de ordem temática, sobre a questão da população: quais espécies de personagens povoam Paroles? Um breve léxico dos principais termos da retórica se encontra no fim da dissertação, antes da bibliografia.|http://hdl.handle.net/10183/1653
