Título|Ano de Publicação|Tipo de Acesso|Tipo de Documento|Assuntos|Idioma|Descrição|Link de Acesso
Responsabilidade corporativa por atos de corrupção e o papel do compliance em face da Lei nº 12.846/2013|||TESE|DIREITO PENAL ECONÔMICO|Português||https://doi.org/10.11606/D.2.2024.tde-08012025-192924
Posse de Trump: quais setores devem ganhar e perder com as políticas do republicano. [Entrevista]|||TEXTO NA WEB|POLÍTICA E GOVERNO|Português||https://www.infomoney.com.br/mercados/posse-de-trump-quais-setores-devem-ganhar-e-perder-com-as-politicas-do-republicano/
Indicator-based natural capital reporting to inform decision-making in the brazilian Pantanal|||ARTIGO DE PERIODICO|INDICADORES DE PRODUTIVIDADE|Inglês||https://doi.org/10.1111/csp2.13115
Júri Simulado/Debate estruturado: exercitando a argumentação|||PARTE DE MONOGRAFIA/LIVRO|DEBATE|Português||
O mal-estar tecnológico: uma reflexão psicanalítica sobre os gadgets|||MONOGRAFIA/LIVRO|DISCURSO|Português||
A Guerra invisível e o corpo na batalha: estratégias de (re)existência e de cuidado mobilizadas por trabalhadoras sexuais no contexto da pandemia de covid-19 no Brasil|||TESE|SAÚDE PÚBLICA|Português||https://doi.org/10.11606/D.6.2025.tde-02042025-171123
Umbral da contemporaneidade real|||PARTE DE MONOGRAFIA/LIVRO|RENOVAÇÃO URBANA|Português||
Instrução por pares (peer instruction): intervenções no sistema alimentar para promover a alimentação saudável e sustentável|||PARTE DE MONOGRAFIA/LIVRO|EDUCAÇÃO ALIMENTAR E NUTRICIONAL|Português||
Apraxia de fala na fissura palatina: relato de caso|||TRABALHO DE EVENTO-RESUMO|APRAXIAS|Português||
Mesmo com crescimento, PIB no Tocantis tem desacelerado; saiba mais. [Entrevista]|||APRESENTACAO SONORA/CENICA/ENTREVISTA|DESENVOLVIMENTO ECONÔMICO|Português||https://globoplay.globo.com/v/13261983/
Mapa conceitual: o antes e o depois da experiência didática na disciplina de Epidemiologia|||PARTE DE MONOGRAFIA/LIVRO|MÉTODOS DE ENSINO|Português||
Brainstorming: estimulando o pensamento epidemiológico em Alimentação e Nutrição|||PARTE DE MONOGRAFIA/LIVRO|MÉTODOS DE ENSINO|Português||
Associação entre dislipidemias e dispêndios em saúde em nível populacional: o efeito de variações genéticas, escores de risco poligênico e demais fatores de risco cardiovascular|||TESE|DISLIPIDEMIAS|Português||https://doi.org/10.11606/T.6.2025.tde-02042025-161727
MathAIde: a qualitative study of teachers' perceptions of an ITS unplugged for underserved regions|||ARTIGO DE PERIODICO|AMBIENTE DA SALA DE AULA|Inglês||https://doi.org/10.1007/s40593-024-00397-y
Accelerated derivative-free spectral residual method for nonlinear systems of equations|||ARTIGO DE PERIODICO|PROGRAMAÇÃO MATEMÁTICA|Inglês||https://doi.org/10.1051/ro/2024234
Comentários sobre o viver urbano no cinema brasileiro|||TRABALHO DE EVENTO-RESUMO|CINEMA|Português||https://drive.google.com/file/d/1czlU7y4hAQDbo4ypRzJsTY5N0_EsIAtC/view
Generation and characterization of cortical organoids from iPSC-derived dental pulp stem cells using traditional and innovative approaches|||ARTIGO DE PERIODICO|CÉLULAS-TRONCO|Inglês||https://doi.org/10.1016/j.neuint.2024.105854
